dataset,missing_rate,method,rmse,mae,n_points
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,Mean,107032861.37377186,73233472.16428855,406
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,LOCF,131230604.74946667,98378848.8888889,406
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,SVD_KNN,97342536.0509493,76305602.7304869,104
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,SVD_KNN_Hankel,94934885.70920262,75830494.03566118,104
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,Kalman,188852036.8094446,127753395.76885639,104
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,ARIMA,96559548.7771807,76678942.50275174,104
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,HoltWinters,98621279.25958416,78814054.20736624,104
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,Linear,119670141.74444525,90877797.05128203,104
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,KNN_Sklearn,94535484.23338927,76593390.46812716,104
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,Spline,147486184.15682185,113236948.10606319,104
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,Mean,94535484.23338927,76593390.46812716,104
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.1,LOCF,119011908.52555288,87920126.83653846,104
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.2,SVD_KNN,103459565.73347525,78903585.09252468,208
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.2,SVD_KNN_Hankel,102826952.77225122,77571795.51139267,208
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.2,Kalman,185202088.48686087,127669679.98011306,208
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.2,ARIMA,104753358.13168944,78101328.87891886,208
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.2,HoltWinters,106480752.74460968,81354609.03099191,208
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.2,Linear,118153308.16979295,88429932.61401099,208
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.2,KNN_Sklearn,100748366.78654596,77750440.18213624,208
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.2,Spline,154088865.81349713,113015621.79097274,208
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.2,Mean,100748366.78654596,77750440.18213624,208
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.2,LOCF,131143216.29376426,97769959.33653846,208
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.3,SVD_KNN,105466428.54678462,81777701.08299938,311
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.3,SVD_KNN_Hankel,101601370.88869414,76620885.73439835,311
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.3,Kalman,177127046.02833158,123715962.94533508,311
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.3,ARIMA,105758837.37087616,79852572.39750066,311
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.3,HoltWinters,107595765.29521105,83360199.81869367,311
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.3,Linear,116236274.03726225,89545642.53071505,311
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.3,KNN_Sklearn,100196837.15548497,78046116.55794194,311
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.3,Spline,157305907.3641356,119938874.59490173,311
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.3,Mean,100196837.15548497,78046116.55794194,311
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.3,LOCF,133965584.00081204,101259737.01607718,311
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.4,SVD_KNN,100482814.25897127,78239206.89702499,415
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.4,SVD_KNN_Hankel,99804950.06301971,75645861.1571775,415
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.4,Kalman,177803949.17355374,122709635.94422375,415
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.4,ARIMA,111644053.43905254,81495078.82825196,415
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.4,HoltWinters,109173872.83428112,82556861.98001032,415
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.4,Linear,116095898.86393024,88753910.55860011,415
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.4,KNN_Sklearn,97274838.5994099,75632649.6506024,415
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.4,Spline,177313989.48100603,129815243.47169198,415
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.4,Mean,97274838.5994099,75632649.6506024,415
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.4,LOCF,133863616.82172999,101880850.08937198,415
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,SVD_KNN,96758175.42170176,73057520.07512073,30
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,SVD_KNN_Hankel,83827216.4886077,57175281.3907777,30
