dataset,missing_rate,method,rmse,mae,n_points
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.2,Spline,176948602.93103975,118010051.93012539,177
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.2,Mean,301042898.8578438,191663832.69049615,177
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.2,LOCF,137657188.68671504,78615037.3559322,177
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.3,SVD_KNN,332903080.6104308,188953973.8888183,265
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.3,SVD_KNN_Hankel,162763010.8661783,93893103.77456674,265
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.3,Kalman,213393361.77666357,145994284.17608514,265
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.3,ARIMA,112753007.97028325,72208806.90688254,265
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.3,HoltWinters,129132309.12148264,90832993.17410856,265
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.3,Linear,138343845.1872497,84254490.92314465,265
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.3,KNN_Sklearn,277904982.97249395,181959242.7481086,265
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.3,Spline,206054398.19816738,135286557.06200737,265
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.3,Mean,277904982.97249395,181959242.7481086,265
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.3,LOCF,134297622.8981145,77252604.69056603,265
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.4,SVD_KNN,354307450.36197996,204316628.27665734,354
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.4,SVD_KNN_Hankel,221828950.92743295,123237907.49324165,354
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.4,Kalman,218421591.6507656,146337936.9240615,354
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.4,ARIMA,124612998.40951493,79389937.36998154,354
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.4,HoltWinters,136967680.0518572,96652977.31599884,354
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.4,Linear,141765629.2177769,88209804.18239172,354
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.4,KNN_Sklearn,288414669.26318383,185178661.20309135,354
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.4,Spline,178249779.62389207,124980400.4657615,354
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.4,Mean,288414669.26318383,185178661.20309135,354
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.4,LOCF,144569995.11572632,86871875.6440678,354
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,SVD_KNN,25842650.77614962,21417477.365848776,100
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,SVD_KNN_Hankel,35313027.83349686,23673102.840484057,100
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,Kalman,62369779.00646328,39549707.76618742,100
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,ARIMA,37233632.54548379,25425590.592288423,100
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,HoltWinters,25428090.802400682,21673707.20817634,100
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,Linear,54408752.3402566,30103699.583333336,100
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,KNN_Sklearn,24068558.773131747,20608752.421365142,100
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,Spline,150500024.98413765,47773833.5041611,100
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,Mean,24068558.773131747,20608752.421365142,100
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,LOCF,94947364.95034814,38173662.21,100
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,SVD_KNN,68732668.23267873,25824387.464615718,200
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,SVD_KNN_Hankel,67048061.71513795,24655516.813682098,200
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,Kalman,75711066.86300516,34845662.17258021,200
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,ARIMA,72685045.74021924,28979457.548962798,200
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,HoltWinters,68360560.14708842,27313007.738051783,200
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,Linear,74301830.98971127,31231996.178333335,200
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,KNN_Sklearn,67047950.31141018,24194887.508426957,200
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,Spline,119835060.41729662,43338705.8648555,200
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,Mean,67047950.31141018,24194887.508426957,200
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,LOCF,92859517.99042335,36729997.575,200
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,SVD_KNN,57926998.76269742,26479941.66847221,300
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,SVD_KNN_Hankel,68279137.1270361,26207958.66560675,300
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,Kalman,123194435.10823601,46678994.89273154,300
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,ARIMA,64852178.092538014,29118477.339932755,300
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,HoltWinters,58207047.84262797,25834971.68995896,300
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,Linear,63346848.65335971,29509252.008888885,300
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,KNN_Sklearn,56682667.91150503,23261876.291930582,300
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,Spline,100627888.89446627,41981383.40540091,300
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,Mean,56682667.91150503,23261876.291930582,300
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,LOCF,78839494.9161117,34599830.75333333,300
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,SVD_KNN,52042695.153357595,23906018.43997678,400
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,SVD_KNN_Hankel,55448899.9556018,24960692.963250842,400
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,Kalman,119183439.7898757,48464421.11567293,400
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,ARIMA,73781140.91570209,30168347.87958515,400
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,HoltWinters,52886062.8664913,25545642.66362782,400
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,Linear,57366718.8693557,28980153.241928566,400
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,KNN_Sklearn,50697656.16854023,22650156.529584028,400
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,Spline,92184907.35463995,43402642.340586185,400
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,Mean,50697656.16854023,22650156.529584028,400
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,LOCF,70229730.09331532,32651919.28822055,400
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.1,SVD_KNN,96777782.51187328,77167150.0743929,110
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.1,SVD_KNN_Hankel,97730327.73871052,76800596.21981692,110
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.1,Kalman,137140190.77710494,110344972.78201541,110
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.1,ARIMA,96683178.8756252,79056615.38031673,110
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.1,HoltWinters,94625987.37021068,77675550.76322444,110
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.1,Linear,123550985.45230286,100064301.64848484,110
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.1,KNN_Sklearn,91106431.55961362,74456894.61796209,110
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.1,Spline,160698592.15982598,126907196.6302191,110
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.1,Mean,91106431.55961362,74456894.61796209,110
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.1,LOCF,143558913.7228426,113180609.94545455,110
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.2,SVD_KNN,89102850.29885265,70017711.15686023,221
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.2,SVD_KNN_Hankel,89968381.01565155,69351067.44716544,221
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.2,Kalman,155305466.29614982,105558665.0489905,221
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.2,ARIMA,90092227.72652481,74061539.58344711,221
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.2,HoltWinters,91754603.47387883,74545186.27933602,221
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.2,Linear,111597553.47582652,86327409.94223227,221
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.2,KNN_Sklearn,84524398.21122378,69069905.45112917,221
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.2,Spline,158516496.99992856,116033053.15234818,221
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.2,Mean,84524398.21122378,69069905.45112917,221
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.2,LOCF,129306009.60941981,97465894.760181,221
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.3,SVD_KNN,87441364.06286362,67233647.1064373,331
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.3,SVD_KNN_Hankel,88988317.65519881,67368148.95730162,331
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.3,Kalman,163338405.55345535,117457616.82150356,331
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.3,ARIMA,93557793.26720354,75364864.10336939,331
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.3,HoltWinters,93547632.85333088,74529127.0852515,331
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.3,Linear,109163900.33098611,85288989.42235649,331
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.3,KNN_Sklearn,84480505.55496769,68332163.38694568,331
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.3,Spline,146123306.6384399,109382210.47707044,331
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.3,Mean,84480505.55496769,68332163.38694568,331
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.3,LOCF,126093063.39014015,94545728.64652568,331
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.4,SVD_KNN,85756131.91945389,65614189.77865663,441
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.4,SVD_KNN_Hankel,85232154.82985859,63865980.09777374,441
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.4,Kalman,173568059.26891652,122793522.80937204,441
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.4,ARIMA,95397780.81511201,75035678.65985353,441
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.4,HoltWinters,106625096.94743507,82532673.76010688,441
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.4,Linear,106499839.19037014,82949455.69312169,441
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.4,KNN_Sklearn,82956538.50710769,66961123.44512609,441
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.4,Spline,146916288.1816173,111419461.25630966,441
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.4,Mean,82956538.50710769,66961123.44512609,441
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,0.4,LOCF,121685561.6164955,90580015.40136054,441
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,SVD_KNN,28047005.20189811,17505588.26850723,102
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,SVD_KNN_Hankel,26350781.34183747,15540769.199212901,102
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,Kalman,147017947.098916,38824132.47448952,102
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,ARIMA,35901713.05619569,19375835.79539726,102
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,HoltWinters,23744300.37381933,14779590.503345022,102
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,Linear,29499784.344627604,19040776.84640523,102
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,KNN_Sklearn,25751250.28105417,15174055.822116623,102
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,Spline,33852855.29141356,23023170.574671153,102
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,Mean,25751250.28105417,15174055.822116623,102
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.1,LOCF,32270423.452839296,20924708.87254902,102
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,SVD_KNN,24056833.83701154,17200487.563211367,204
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,SVD_KNN_Hankel,23909458.229420323,16389824.231105313,204
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,Kalman,107128900.14360568,31761932.641218327,204
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,ARIMA,28552634.293019217,17465929.63050554,204
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,HoltWinters,21625597.9631745,15163075.638903126,204
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,Linear,25972540.919283886,18257236.683006536,204
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,KNN_Sklearn,22257837.069519486,15057107.70040227,204
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,Spline,32428904.618737325,23390573.06278055,204
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,Mean,22257837.069519486,15057107.70040227,204
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.2,LOCF,29089956.692996114,20559677.666666668,204
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,SVD_KNN,22757053.243879925,16457779.984999778,305
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,SVD_KNN_Hankel,21193717.95106811,15428242.171390869,305
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,Kalman,122969354.15733425,42051240.25570019,305
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,ARIMA,29940301.538474992,18118199.533380825,305
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,HoltWinters,21298443.255177233,15136269.752703778,305
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,Linear,24400642.445014615,17639912.61081967,305
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,KNN_Sklearn,21439585.332546305,15247574.410305105,305
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,Spline,30805317.497719623,23414950.850230735,305
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,Mean,21439585.332546305,15247574.410305105,305
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.3,LOCF,26801780.31052562,19306360.773770493,305
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,SVD_KNN,41053567.517745145,18828410.737300538,407
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,SVD_KNN_Hankel,39378679.15096129,17501290.963194907,407
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,Kalman,117904497.67757967,39178725.44935501,407
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,ARIMA,61183898.75234923,22264522.33648071,407
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,HoltWinters,39583505.17948522,17045892.545289863,407
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,Linear,40713127.01883851,19312434.80909091,407
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,KNN_Sklearn,39225917.250226766,16808670.66365204,407
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,Spline,44941837.42372665,24780574.798396304,407
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,Mean,39225917.250226766,16808670.66365204,407
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,0.4,LOCF,41290722.41501684,21253318.86453202,407
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.1,SVD_KNN,53439841.01820216,38982245.59444148,123
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.1,SVD_KNN_Hankel,50418451.99218217,35765501.26206492,123
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.1,Kalman,77327560.23249489,58986300.73803176,123
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.1,ARIMA,51377582.51618261,39820577.2244843,123
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.1,HoltWinters,51106926.04654637,39480698.68726907,123
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.1,Linear,73567582.04196328,57783906.41056911,123
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.1,KNN_Sklearn,49172184.88996414,36959085.77454489,123
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.1,Spline,113914829.30778363,81724263.55202076,123
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.1,Mean,49172184.88996414,36959085.77454489,123
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.1,LOCF,82616174.69028455,61379809.406504065,123
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.2,SVD_KNN,56084141.26308642,40497206.834136434,245
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.2,SVD_KNN_Hankel,55422810.17652247,38920070.48476645,245
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.2,Kalman,89442231.89306736,67821636.9335955,245
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.2,ARIMA,57593879.279317625,43462863.85385785,245
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.2,HoltWinters,55861334.35454641,42689939.11685414,245
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.2,Linear,73128444.39398736,55474082.35210884,245
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.2,KNN_Sklearn,53659930.29876066,39176217.90802611,245
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.2,Spline,105123954.02166444,75278001.4454035,245
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.2,Mean,53659930.29876066,39176217.90802611,245
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.2,LOCF,89681731.04637419,63947885.0,245
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.3,SVD_KNN,61204537.28847371,43539926.48463298,368
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.3,SVD_KNN_Hankel,57585951.307562016,40262155.26892506,368
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.3,Kalman,127911029.24061005,78094616.20939702,368
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.3,ARIMA,63229050.81522339,47107691.50096547,368
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.3,HoltWinters,63229844.75114194,46084461.605156876,368
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.3,Linear,74491201.74466264,57638374.8236413,368
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.3,KNN_Sklearn,55053828.04478019,39454887.09793682,368
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.3,Spline,105834699.32426059,79330048.45170316,368
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.3,Mean,55053828.04478019,39454887.09793682,368
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.3,LOCF,88229318.72144298,63858950.10326087,368
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.4,SVD_KNN,63645233.4211289,47470769.22236304,491
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.4,SVD_KNN_Hankel,59455970.844833545,40194175.52275373,491
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.4,Kalman,136257235.1437402,85887180.67506793,491
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.4,ARIMA,65166376.200328894,48275224.05341833,491
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.4,HoltWinters,73054545.07184745,56407861.736245014,491
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.4,Linear,74810045.79643774,56574251.02841625,491
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,0.4,KNN_Sklearn,57040673.2305431,40504862.69188601,491
