method,missing_rate,nrmse_mode,rmse_avg,nrmse_avg,wd_avg,jsd_avg,js_distance_avg
ARIMA,,range,43421216.87351338,0.05572189988083177,8125259.855158683,0.05990365444565174,0.17589134042901852
HoltWinters,,range,41636546.84887352,0.05472141577447633,6422654.4212780455,0.09577834070766279,0.22311297696027135
KNN_Sklearn,,range,45387184.28116551,0.05411301151376135,15893712.039689861,0.12294847230156077,0.3004032552163123
Kalman,,range,77362444.38904005,0.09987640679570665,9352176.520212037,0.3750519647948822,0.583996775010108
LOCF,,range,53725145.01572888,0.07005907598795534,3066858.692135224,0.0669238254675942,0.1554032490150684
Linear,,range,46667493.570153445,0.061722462335230315,4096481.26374042,0.06779531558416386,0.16085391412230343
Mean,,range,45387184.28116551,0.05411301151376135,15893712.039689861,0.12294847230156077,0.3004032552163123
SVD_KNN,,range,48970142.48118436,0.057821838921374,9096839.669317795,0.07350270750914628,0.1886875451536473
SVD_KNN_Hankel,,range,41839224.52781949,0.053293651323886644,11017368.891790746,0.08274464599278997,0.21480819393025402
Spline,,range,65655980.41965201,0.0892428127807913,6302699.733282483,0.34055027182232855,0.5384482528133436
