file_imputed,file_original,len_imputed,len_original,dtw_distance,normalized_dtw,trend_correlation,trend_dtw,seasonality_period_orig,seasonality_period_imp,seasonality_period_diff,seasonality_strength_orig,seasonality_strength_imp,seasonality_strength_diff,spectral_similarity,acf_similarity,overall_score
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr10_Mean.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,488,488,71430752400.85747,146374492.62470794,0.0019247271026784738,141808267.27560177,46,3.0,43.0,0.10434731957892816,0.7439442684710896,0.6395969488921615,0.9862952106939739,0.705349748317782,0.5645232287048114
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr10_KNN_Sklearn.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,488,488,71430752400.85747,146374492.62470794,0.0019247271026784738,141808267.27560177,46,3.0,43.0,0.10434731957892816,0.7439442684710896,0.6395969488921615,0.9862952106939739,0.705349748317782,0.5645232287048114
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr20_Linear.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,488,488,88933634183.01495,182241053.65371916,-0.010988531476211698,149986229.90911826,46,,,0.10434731957892816,,,0.9821283355699438,0.721521821951431,0.5642205420150543
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_mr20_SVD_KNN_Hankel.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,322887169232.46387,601279644.7531916,-0.09116363725165516,601915979.4261777,107,12.0,95.0,0.1162079031088894,0.10104079830511721,0.015167104803772188,0.9963331336931193,0.7870746748989644,0.5640813904468095
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr20_SVD_KNN_Hankel.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,488,488,72161936975.24403,147872821.67058203,-0.006690672406939938,149484868.0150942,46,3.0,43.0,0.10434731957892816,0.8250624127749335,0.7207150931960054,0.9848225065231451,0.7128008884241408,0.563644240846782
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr10_Linear.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,488,488,77618532551.26665,159054369.9821038,-0.004941140525069469,152674609.8385395,46,,,0.10434731957892816,,,0.9825580269131449,0.7091895289317851,0.5622688051066201
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr20_LOCF.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,488,488,80227087635.31659,164399769.7445012,-0.008904600247812264,158076140.841495,46,,,0.10434731957892816,,,0.9821428803596111,0.7120019413160005,0.5617467404759331
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr30_Spline.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,55339591301.18034,103053242.64651833,-0.10603451663730765,125797805.94320638,107,7.0,100.0,0.1162079031088894,0.10053198574670644,0.01567591736218296,0.9991786863818765,0.7920274529064235,0.5617238742169974
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_mr10_KNN_Sklearn.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,44856641488.4913,83531920.83517933,-0.034613930353630605,86305132.54064873,107,,,0.1162079031088894,,,0.9989939019724374,0.7205036884008789,0.5616278866732286
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_mr10_Mean.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,44856641488.4913,83531920.83517933,-0.034613930353630605,86305132.54064873,107,,,0.1162079031088894,,,0.9989939019724374,0.7205036884008789,0.5616278866732286
