method,missing_rate,n_series,dtw_distance_avg,dtw_similarity_avg,period_diff_ratio_avg,period_similarity_avg,spectral_cosine_similarity_avg,trend_corr_avg
ARIMA,,44,202.5509594989271,0.008414165194079375,0.37282105834874674,0.6271789416512532,0.9324682050715908,0.8019198620305047
HoltWinters,,44,196.64841354911624,0.00881871950972351,0.26655784616963507,0.733442153830365,0.9349712961518022,0.8541480509794492
KNN_Sklearn,,44,217.60001293846642,0.007780676014798284,0.3435300796806559,0.6564699203193441,0.9405120933252945,0.8839084462021095
Kalman,,44,263.8987193639638,0.0054398482527004246,0.288244915960876,0.711755084039124,0.8753419511838902,0.6868945898550441
LOCF,,44,163.80857742112832,0.01013734946860511,0.4146236150912111,0.585376384908789,0.9065351333493997,0.8148197142616712
Linear,,44,210.81844171740383,0.008135111284944456,0.2882413330588609,0.7117586669411391,0.9132577305492636,0.8307666975932135
Mean,,44,217.60001293846642,0.007780676014798284,0.3435300796806559,0.6564699203193441,0.9405120933252945,0.8839084462021095
SVD_KNN,,44,204.18256105910132,0.008049835291600705,0.32363644161834954,0.6763635583816504,0.9310566894649533,0.872843894149387
SVD_KNN_Hankel,,44,198.04322993836166,0.008981665871468454,0.3792484348465569,0.6207515651534431,0.9400897235938829,0.8804280378983967
Spline,,44,232.0904815199765,0.007298287237429682,0.3397948689690592,0.6602051310309408,0.8655757549768329,0.7167902239596722
