file,rmse,mae,nrmse_range,nrmse_std,mape,r2,n_samples
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_KNN_Sklearn_imputed.csv_gru.csv,37492014.19306755,25810287.654119927,0.14794653192999038,1.0000027091336816,18.786412080089743,-5.4182747026843e-06,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_Mean_imputed.csv_gru.csv,37492014.19306755,25810287.654119927,0.14794653192999038,1.0000027091336816,18.786412080089743,-5.4182747026843e-06,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_Spline_imputed.csv_gru.csv,37537196.27112975,26284040.88171786,0.1481248240782935,1.0012078244479408,19.42130883958112,-0.002417107735778856,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_HoltWinters_imputed.csv_gru.csv,37545300.21559779,25533671.768489856,0.1481568029011123,1.001423976249788,18.354809278097356,-0.0028499802079362535,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_Linear_imputed.csv_gru.csv,37554647.822990745,25521135.495233882,0.14819368931880406,1.0016732995501776,18.323096174628517,-0.003349399031740141,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_IterativeSVD_imputed.csv_gru.csv,37554647.822990745,25521135.495233882,0.14819368931880406,1.0016732995501776,18.323096174628517,-0.003349399031740141,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_ARIMA_imputed.csv_gru.csv,37574943.212339774,25464737.70090358,0.14827377657292956,1.0022146266772676,18.2384781701498,-0.004434157925854887,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_SVD_KNN_imputed.csv_gru.csv,37622497.68431839,25387589.102235787,0.1484614303802382,1.0034830194759354,18.099070783388196,-0.006978170376541026,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv_gru.csv,38030295.67942833,25195646.046456248,0.15007063437749035,1.0143599784408297,17.525744347463764,-0.028926165862480202,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_LOCF_imputed.csv_gru.csv,38936868.50219402,25345112.731541786,0.15364804433950208,1.0385404685613173,17.094408762638867,-0.07856630483956062,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_Kalman_imputed.csv_gru.csv,41629013.22003901,27168695.81693551,0.16427146596757922,1.1103464802992173,17.523160750104225,-0.2328693063128604,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_KNN_Sklearn_imputed.csv_gru.csv,44166494.63706857,31497686.250392105,0.17104560205719543,1.00184721664527,3.765869896458846,-0.003697845499874841,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_Mean_imputed.csv_gru.csv,44166494.63706857,31497686.250392105,0.17104560205719543,1.00184721664527,3.765869896458846,-0.003697845499874841,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_Spline_imputed.csv_gru.csv,44366061.66328307,33242865.12792985,0.17181847439923034,1.0063740796302116,3.9332245073666505,-0.012788788151555819,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_SVD_KNN_imputed.csv_gru.csv,44638551.88051943,30940258.37206258,0.1728737597155065,1.012555090098545,3.720759680811477,-0.025267810484472797,144
