file,rmse,mae,nrmse_range,nrmse_std,mape,r2,n_samples
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv_gru.csv,45182181.4914491,30765849.21029263,0.17497909895199515,1.0248864697353328,3.7131375609261914,-0.05039227584655337,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_IterativeSVD_imputed.csv_gru.csv,45485340.31168132,30796782.280453403,0.17615315596855646,1.0317631490540535,3.72214660974313,-0.06453519574593725,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_Linear_imputed.csv_gru.csv,45485340.31168132,30796782.280453403,0.17615315596855646,1.0317631490540535,3.72214660974313,-0.06453519574593725,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_ARIMA_imputed.csv_gru.csv,45733807.63862421,30842592.315250184,0.17711540673981918,1.0373992381747894,3.7313931365950124,-0.07619717936563375,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_HoltWinters_imputed.csv_gru.csv,46361561.97213931,30998485.7638953,0.17954653963371164,1.051638854357534,3.758211064772717,-0.10594427999442657,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Mean_imputed.csv_gru.csv,57381204.20028159,21565361.367751878,0.11317443236266098,1.0040148312058852,3.199916918080972,-0.008045781281382336,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_KNN_Sklearn_imputed.csv_gru.csv,57381204.20028159,21565361.367751878,0.11317443236266098,1.0040148312058852,3.199916918080972,-0.008045781281382336,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_SVD_KNN_imputed.csv_gru.csv,57649356.86187778,21499581.40281652,0.11370331678894034,1.0087067726355248,3.2013002109489084,-0.017489353160776266,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv_gru.csv,57667351.42838327,45235483.72996093,0.18001757819056227,1.0010410011772009,5.590608462244904,-0.002083086037852455,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv_gru.csv,57684337.96955977,21512357.2223382,0.11377231093189188,1.0093188467705,3.2036513220312113,-0.01872453444613198,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_SVD_KNN_imputed.csv_gru.csv,57723248.031376876,44075035.4903047,0.18019206810297805,1.0020113039574943,5.497987504009164,-0.00402665325859819,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_KNN_Sklearn_imputed.csv_gru.csv,57750168.65028912,45506607.04299226,0.18027610498866703,1.0024786159224228,5.614865912996915,-0.004963375381736634,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_Mean_imputed.csv_gru.csv,57750168.65028912,45506607.04299226,0.18027610498866703,1.0024786159224228,5.614865912996915,-0.004963375381736634,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_LOCF_imputed.csv_gru.csv,57809003.3567957,17466523.776536845,0.08309137963170876,0.9994844978346675,3.4113380841480154,0.0010307385881824782,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_ARIMA_imputed.csv_gru.csv,57960684.08710755,19595480.358673718,0.08330939690260633,1.0021069706289354,3.628381208937715,-0.004218380583101977,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Linear_imputed.csv_gru.csv,57967587.9086766,19352675.18507052,0.08331932006380258,1.0022263337425235,3.6055839519254467,-0.004457624046979802,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_IterativeSVD_imputed.csv_gru.csv,57967587.9086766,19352675.18507052,0.08331932006380258,1.0022263337425235,3.6055839519254467,-0.004457624046979802,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_HoltWinters_imputed.csv_gru.csv,57983500.51751774,16802506.44348869,0.08334219194439857,1.0025014536188972,3.3512801330977435,-0.005009164508002151,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_KNN_Sklearn_imputed.csv_gru.csv,58145972.5234852,16731905.365365522,0.08357571998230723,1.005310501377329,3.3504107076820797,-0.01064920417953652,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Mean_imputed.csv_gru.csv,58145972.5234852,16731905.365365522,0.08357571998230723,1.005310501377329,3.3504107076820797,-0.01064920417953652,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv_gru.csv,58209990.867541425,16740160.966250148,0.08366773631575858,1.0064173418130018,3.35353363426452,-0.012875865901948336,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_SVD_KNN_imputed.csv_gru.csv,58307938.729665294,16771059.058608353,0.08380852101231556,1.0081108041476599,3.3599967909751225,-0.01628739343924135,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_LOCF_imputed.csv_gru.csv,59550897.96053223,44695464.16759153,0.18589736071443594,1.0337372714168327,5.643996396333281,-0.06861274631631864,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_HoltWinters_imputed.csv_gru.csv,65287334.71196577,32866094.61869788,0.12876789794630203,1.1423505876928732,4.557372479423464,-0.30496486520225297,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_ARIMA_imputed.csv_gru.csv,65773040.94936369,33938040.743949205,0.12972586891394938,1.1508491243261343,4.679113414113651,-0.32445370696222997,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_LOCF_imputed.csv_gru.csv,67449378.33962502,51513473.96043263,0.2612142897299773,1.5299826827844476,6.203570826132079,-1.3408470096202962,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_LOCF_imputed.csv_gru.csv,74781878.88726744,47792351.97344175,0.1474942328595854,1.3084792582287827,6.276492941911864,-0.7121179692149457,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Linear_imputed.csv_gru.csv,75491616.05595975,48884073.93607828,0.14889406582428014,1.3208977261497061,6.401339406575282,-0.744770802947464,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_IterativeSVD_imputed.csv_gru.csv,75491616.05595975,48884073.93607828,0.14889406582428014,1.3208977261497061,6.401339406575282,-0.744770802947464,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_ARIMA_imputed.csv_gru.csv,78929163.10645154,60804000.81144036,0.24638961976044457,1.3701223742915352,7.789776550567264,-0.8772353205342731,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_HoltWinters_imputed.csv_gru.csv,80105933.37647364,61911291.68893734,0.2500630906039792,1.3905497957020958,7.9298447446313665,-0.9336287343271401,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv_gru.csv,82623049.00537151,52903396.800559156,0.11018776217371141,1.002262900423108,9.410057585963312,-0.004530921564541046,143
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_SVD_KNN_imputed.csv_gru.csv,82734116.60244368,52767228.01405788,0.11033588415805742,1.0036102112924679,9.410210427655782,-0.007233456210511635,143
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_IterativeSVD_imputed.csv_gru.csv,82755938.80545759,52823054.24816623,0.11036498668749382,1.0038749265837774,9.417629685055628,-0.007764868223584465,143
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Linear_imputed.csv_gru.csv,82755938.80545759,52823054.24816623,0.11036498668749382,1.0038749265837774,9.417629685055628,-0.007764868223584465,143
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_Linear_imputed.csv_gru.csv,82790612.46279107,64438324.706170425,0.25844373260273495,1.4371528349234177,8.24854220635019,-1.0654082709284163,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_IterativeSVD_imputed.csv_gru.csv,82790612.46279107,64438324.706170425,0.25844373260273495,1.4371528349234177,8.24854220635019,-1.0654082709284163,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Mean_imputed.csv_gru.csv,83563089.21049766,52529255.32869298,0.11144141872358569,1.0136661036920025,9.462236891809225,-0.02751896977412538,143
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_KNN_Sklearn_imputed.csv_gru.csv,83563089.21049766,52529255.32869298,0.11144141872358569,1.0136661036920025,9.462236891809225,-0.02751896977412538,143
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_ARIMA_imputed.csv_gru.csv,84223710.5347864,52720120.374412246,0.11232243662650619,1.0216798026843978,9.532488763998625,-0.04382961921323014,143
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_HoltWinters_imputed.csv_gru.csv,85078383.01066314,53193924.98577606,0.1134622450533557,1.0320474485761433,9.642560306621787,-0.06512193611252703,143
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_SoftImpute_imputed.csv_gru.csv,92377346.38861598,84427072.75342341,0.3645285088369094,2.463927282633899,58.38828329051072,-5.070937654107671,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_Mean_imputed.csv_gru.csv,93733183.01487541,65682913.69223913,0.1653574394221524,1.0021879842141546,9.00023516256479,-0.004380755703230488,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_KNN_Sklearn_imputed.csv_gru.csv,93733183.01487541,65682913.69223913,0.1653574394221524,1.0021879842141546,9.00023516256479,-0.004380755703230488,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_SVD_KNN_imputed.csv_gru.csv,93801062.98260887,65498045.15138989,0.16547718845116682,1.0029137516088298,8.988372038111164,-0.005835993166097397,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv_gru.csv,94470772.73685078,64439177.820615396,0.16665864294311453,1.010074236796938,8.929510419916573,-0.020249963840916818,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_LOCF_imputed.csv_gru.csv,95413038.28698772,63636834.06677842,0.16832092105652954,1.0201488675937638,8.89754601510626,-0.04070371205283907,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Kalman_imputed.csv_gru.csv,103622516.21672647,85736621.4092191,0.1489411222022868,1.7915738478661136,11.217023407030794,-2.2097368523577923,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_ARIMA_imputed.csv_gru.csv,105484761.30609064,66787690.35371515,0.14529137928173966,1.0013898790703868,12.16104927164246,-0.0027816899046038124,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_Mean_imputed.csv_gru.csv,106116921.32665446,66823176.41205662,0.1461620965320539,1.0073911122220516,12.260235596729787,-0.014836852983981741,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_KNN_Sklearn_imputed.csv_gru.csv,106116921.32665446,66823176.41205662,0.1461620965320539,1.0073911122220516,12.260235596729787,-0.014836852983981741,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_SVD_KNN_imputed.csv_gru.csv,106482635.32593574,66958000.70883952,0.14666581944634322,1.0108629150965154,12.321613797408316,-0.02184383311742466,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv_gru.csv,108187407.87727793,67930362.72925735,0.14901391932616778,1.0270466932829907,12.59356126534751,-0.054824910183525644,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_Linear_imputed.csv_gru.csv,110961430.63302433,70060451.67348,0.15283477067332876,1.0533810972056075,13.028964638341185,-0.10961173595008922,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_IterativeSVD_imputed.csv_gru.csv,110961430.63302433,70060451.67348,0.15283477067332876,1.0533810972056075,13.028964638341185,-0.10961173595008922,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_LOCF_imputed.csv_gru.csv,112877338.39422847,71424644.015796,0.15547368152410268,1.071569228055475,13.297699397438953,-0.1482606105154065,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Spline_imputed.csv_gru.csv,120544658.58916113,105762820.53398815,0.17326404898536032,2.084147979736376,13.481141790068312,-3.3436728014392187,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_LOCF_imputed.csv_gru.csv,124976161.73771684,74304454.94463705,0.09191576865167876,1.0014050148508746,10.435311662066514,-0.0028120037684806753,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_HoltWinters_imputed.csv_gru.csv,125459500.54097089,84246971.87575987,0.17280395435225143,1.1910144415115622,15.366347494446659,-0.4185153998890978,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_LOCF_imputed.csv_gru.csv,125714738.5486802,97586719.32124086,0.16765570721109213,1.5249887289385973,16.298848334693314,-1.325590623389758,143
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv_gru.csv,126174056.9843447,72431070.14755113,0.09279678036484905,1.0110034717930607,10.36344431358635,-0.02212801997762237,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_SVD_KNN_imputed.csv_gru.csv,126403534.90806404,73637741.21610703,0.0929655536689254,1.0060401099870553,10.473492594845272,-0.01211670290276623,142
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_HoltWinters_imputed.csv_gru.csv,130792926.32865,72171573.5823484,0.09619380360656517,1.0480134012069227,10.57471471098456,-0.09833208910930247,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_IterativeSVD_imputed.csv_gru.csv,131138243.72230518,72203071.09705178,0.09644777294940049,1.0507803494385963,10.5922256630323,-0.10413934276629866,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_Linear_imputed.csv_gru.csv,131138243.72230518,72203071.09705178,0.09644777294940049,1.0507803494385963,10.5922256630323,-0.10413934276629866,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_ARIMA_imputed.csv_gru.csv,131172163.49784958,72194112.93505673,0.09647271980485121,1.0510521407375168,10.592635124889076,-0.10471060254891684,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_Mean_imputed.csv_gru.csv,131200300.04444438,92731367.36810216,0.09649341328968468,1.0512775923634017,12.015548077623226,-0.10518457620539046,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_KNN_Sklearn_imputed.csv_gru.csv,131200300.04444438,92731367.36810216,0.09649341328968468,1.0512775923634017,12.015548077623226,-0.10518457620539046,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Spline_imputed.csv_gru.csv,135841186.06669864,123233539.88584127,0.2679230828079029,2.376850876526122,14.898019942432159,-4.649420089242993,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Kalman_imputed.csv_gru.csv,172016360.9480547,162244586.82680058,0.33927231536369806,3.0098179361851773,19.358590967962506,-8.059004008982,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_Spline_imputed.csv_gru.csv,173787806.11383942,130806176.64833371,0.1278150933676953,1.3925214068228884,17.935768126872258,-0.9391158684599963,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_ARIMA_imputed.csv_gru.csv,185643660.22718656,174080557.00813425,0.32749939042667475,1.9848877381630738,20.374865031343695,-2.939779333110123,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_Kalman_imputed.csv_gru.csv,188245200.34057447,163366663.98501062,0.33208884314626896,2.0127032049831297,21.39170852471738,-3.050974191349362,144
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Mean_imputed.csv_gru.csv,214233421.27215344,96020251.7438157,0.14053932952904444,1.0019073988647376,7.469635892683035,-0.003818435899904715,48
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_KNN_Sklearn_imputed.csv_gru.csv,214233421.27215344,96020251.7438157,0.14053932952904444,1.0019073988647376,7.469635892683035,-0.003818435899904715,48
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv_gru.csv,215473887.3766809,103608028.30507095,0.14135308806213684,1.0077086980307914,7.794272051680619,-0.01547682008691309,48
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_SVD_KNN_imputed.csv_gru.csv,216209202.12684906,108035325.77041316,0.1418354621070818,1.0111475512419903,7.984471995796902,-0.022419370382673387,48
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_LOCF_imputed.csv_gru.csv,235192196.61265153,154739319.4565337,0.1542885018879248,1.0999254950146977,10.04182363407509,-0.2098360945833282,48
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Spline_imputed.csv_gru.csv,245699429.88150355,139660556.47466505,0.16118135506667242,1.1490647688551092,9.600144237098327,-0.3203498430240457,48
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Kalman_imputed.csv_gru.csv,252565520.15430364,187159605.5607914,0.16568558096053693,1.1811754759742032,11.490073813032982,-0.3951755050428858,48
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Spline_imputed.csv_gru.csv,262922411.18245625,249681593.3160387,0.3506386227846396,3.1893930518206095,37.48717857940378,-9.172228039001581,143
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_IterativeSVD_imputed.csv_gru.csv,319714532.90606695,308669971.9790352,0.5640177235740167,3.4183631980816407,35.797357094686774,-10.68520695399894,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_Linear_imputed.csv_gru.csv,319714532.90606695,308669971.9790352,0.5640177235740167,3.4183631980816407,35.797357094686774,-10.68520695399894,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_HoltWinters_imputed.csv_gru.csv,333334956.9299151,322430445.9661672,0.5880459104763015,3.5639917242614896,37.42426109574233,-11.702037010604386,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_Spline_imputed.csv_gru.csv,338038091.61385083,321211255.46849847,0.46560299300319546,3.2090694380026354,48.504466987943715,-9.298126657922552,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_Kalman_imputed.csv_gru.csv,355831054.6178589,351135529.4424746,1.1107818047938478,6.176830846947516,42.956556792748465,-37.153239311802366,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_Kalman_imputed.csv_gru.csv,383548058.52300835,381010550.8884427,1.4853840932369426,8.700182299694433,44.087682582640156,-74.6931720479163,144
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_HoltWinters_imputed.csv_gru.csv,396374030.0510036,376309227.49391407,0.2600254437206907,1.8537260482874724,20.202393450913338,-2.43630026209949,48
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Linear_imputed.csv_gru.csv,397045725.5580893,373376767.88886595,0.26046608288732,1.8568673728032141,20.072149123022832,-2.4479564401811107,48
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_IterativeSVD_imputed.csv_gru.csv,397045725.5580893,373376767.88886595,0.26046608288732,1.8568673728032141,20.072149123022832,-2.4479564401811107,48
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Kalman_imputed.csv_gru.csv,442964910.19707626,435226532.476988,0.5907469255089057,5.373407312176533,63.26195021667217,-27.873506142552223,143
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_ARIMA_imputed.csv_gru.csv,447739399.5784672,433724911.5872412,0.29372165485121643,2.0939469413180243,22.835270351722446,-3.3846137930551112,48
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_Kalman_imputed.csv_gru.csv,521493887.8746919,510744267.0490765,0.7182892137040465,4.9506553823393915,74.68685472135326,-23.508988714685984,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_Spline_imputed.csv_gru.csv,521557961.9283589,518369317.07565117,1.6281240401503367,9.053665400761446,63.16798457269154,-80.96885718894492,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_SoftImpute_imputed.csv_gru.csv,719767317.3042107,708845048.4762625,0.5293646828362094,5.767328673342285,82.05531753779583,-32.26208002635608,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_Kalman_imputed.csv_gru.csv,726369722.337823,715337947.8054013,0.5342205299447789,5.820232214456084,82.83281331340872,-32.87510303019237,144
