dataset_base,imputed_file,original_file,method,missing_rate,n,dtw_distance,dtw_similarity,period_dom_ori,period_dom_imp,period_diff_ratio,period_similarity,spectral_cosine_similarity,trend_window,trend_corr
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_KNN_Sklearn_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,KNN_Sklearn,,1015,357.4982292553034,0.0027894140567368136,6,13,0.5384615384615384,0.46153846153846156,0.8984015150192356,9,0.8082703564143845
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_KNN_Sklearn_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,KNN_Sklearn,,1015,444.6596158877177,0.0022438649685771537,6,13,0.5384615384615384,0.46153846153846156,0.8810126582194981,9,0.7624017474872445
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Kalman_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Kalman,,1015,109.06254492247669,0.009085743026425173,6,15,0.6,0.4,0.938837114209635,10,0.9212482491448091
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_Kalman_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Kalman,,1015,219.28502910205555,0.00453957313429916,6,60,0.9,0.09999999999999998,0.8928966101243307,33,0.859304655051113
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_Kalman_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Kalman,,1015,335.13024312216237,0.00297503726743375,6,13,0.5384615384615384,0.46153846153846156,0.8622497151496289,9,0.6316240100810449
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_Kalman_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Kalman,,1015,453.3883806876304,0.0022007605002722346,6,44,0.8636363636363636,0.13636363636363635,0.7870193631624816,25,0.16673481821185582
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_LOCF_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,LOCF,,1015,78.79135906208012,0.01253268539043143,6,15,0.6,0.4,0.9639328465703427,10,0.9531297568334224
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_LOCF_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,LOCF,,1015,169.24960373171515,0.005873728796313866,6,127,0.952755905511811,0.047244094488189003,0.9167962205565481,66,0.883291925823406
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_LOCF_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,LOCF,,1015,272.12468699203333,0.003661331427097136,6,36,0.8333333333333334,0.16666666666666663,0.8787746811135524,21,0.7641956462518253
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_LOCF_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,LOCF,,1015,347.0956762455354,0.0028727734018006946,6,31,0.8064516129032258,0.19354838709677424,0.8454857199447552,18,0.666108171312076
