dataset,method,rmse,mae,n_points,missing_percentage
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,SVD_KNN,0.0,0.0,86,35.98326359832636
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,SVD_KNN_Hankel,0.0,0.0,86,35.98326359832636
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,Kalman,0.0,0.0,86,35.98326359832636
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,ARIMA,0.0,0.0,86,35.98326359832636
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,HoltWinters,0.0,0.0,86,35.98326359832636
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,Linear,0.0,0.0,86,35.98326359832636
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,KNN_Sklearn,0.0,0.0,86,35.98326359832636
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,Spline,0.0,0.0,86,35.98326359832636
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,Mean,0.0,0.0,86,35.98326359832636
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,LOCF,0.0,0.0,86,35.98326359832636
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,SoftImpute,0.0,0.0,86,35.98326359832636
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h,IterativeSVD,0.0,0.0,86,35.98326359832636
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,SVD_KNN,0.0,0.0,232,32.22222222222222
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,SVD_KNN_Hankel,0.0,0.0,232,32.22222222222222
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,Kalman,0.0,0.0,232,32.22222222222222
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,ARIMA,0.0,0.0,232,32.22222222222222
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,HoltWinters,0.0,0.0,232,32.22222222222222
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,Linear,0.0,0.0,232,32.22222222222222
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,KNN_Sklearn,0.0,0.0,232,32.22222222222222
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h,Spline,0.0,0.0,232,32.22222222222222
