technique,trend_correlation,acf_similarity,spectral_similarity,overall_score,n_samples
Mean,0.16896827448685506,0.7690301410244867,0.9982541975776766,0.6454175376963396,44
Linear,0.14125266829755787,0.7970491102146677,0.9974216264215474,0.6452411349779243,44
KNN,0.16149432857370746,0.7729163335684279,0.9981103700431988,0.6441736773951113,132
LOCF,0.13207067381948379,0.7924329181295473,0.9973183984075771,0.6406073301188694,44
Spline,0.12437625367873446,0.7942327469540964,0.9963925085937134,0.6383338364088481,44
