timestamp,data,vazao_bps
1747113368,2025-05-13 02:16:08,56666490.698603384
1747611928,2025-05-18 20:45:28,45612622.68008454
1748380072,2025-05-27 18:07:52,66060258.27288378
1748732592,2025-05-31 20:03:12,50331866.9436212
1748828460,2025-06-01 22:41:00,56099402.2387534
1749081633,2025-06-04 21:00:33,68682146.96109647
1750642895,2025-06-22 22:41:35,50042649.8038109
1750663085,2025-06-23 04:18:05,48706528.10817478
1750712745,2025-06-23 18:05:45,43882588.872051
1750743558,2025-06-24 02:39:18,36228869.42782643
1750752257,2025-06-24 05:04:17,45547572.6607353
1751282738,2025-06-30 08:25:38,46137683.11197087
1751663789,2025-07-04 18:16:29,45169108.485621914
1752975383,2025-07-19 22:36:23,58195956.36080872
1753002899,2025-07-20 06:14:59,61879727.48747497
1753325450,2025-07-23 23:50:50,62914654.371981554
1754901753,2025-08-11 05:42:33,58720411.60909077
1756990581,2025-09-04 09:56:21,51904813.047915675
1757160596,2025-09-06 09:09:56,43620447.12408943
