timestamp,data,vazao_bps
1747727910,2025-05-20 04:58:30,100663366.46435653
1747799811,2025-05-21 00:56:51,116392081.49010187
1747947242,2025-05-22 17:54:02,144297212.1634667
1747973592,2025-05-23 01:13:12,155887125.39682573
1747992557,2025-05-23 06:29:17,122669990.30355933
1748009244,2025-05-23 11:07:24,191889571.10613543
1748029928,2025-05-23 16:52:08,164626374.38076895
1748053234,2025-05-23 23:20:34,126372338.57631873
1748117236,2025-05-24 17:07:16,118646937.97295538
1748143951,2025-05-25 00:32:31,182430350.60096294
1748182893,2025-05-25 11:21:33,131531945.31169686
1748211389,2025-05-25 19:16:29,91750505.51308133
1748225760,2025-05-25 23:16:00,86493834.58393985
1748250452,2025-05-26 06:07:32,104335816.05958542
1748273464,2025-05-26 12:31:04,147377629.44861448
1748293935,2025-05-26 18:12:15,146800779.4607405
1748311923,2025-05-26 23:12:03,70891720.61465077
1748340731,2025-05-27 07:12:11,150991675.0302356
1748357037,2025-05-27 11:43:57,134465896.53127074
1748379538,2025-05-27 17:58:58,99448835.6693014
1748426033,2025-05-28 06:53:53,167946421.1866053
1748447514,2025-05-28 12:51:54,99614894.3260651
1748463873,2025-05-28 17:24:33,117976756.9443163
1748490947,2025-05-29 00:55:47,103345171.38501565
1748534680,2025-05-29 13:04:40,118245126.42547743
1748552206,2025-05-29 17:56:46,132644678.29745038
1748579406,2025-05-30 01:30:06,128310419.06031144
1748597082,2025-05-30 06:24:42,160432256.34580508
1748614145,2025-05-30 11:09:05,116613047.02761349
1748705204,2025-05-31 12:26:44,112512345.4404318
1748730451,2025-05-31 19:27:31,119585832.16566713
1748743224,2025-05-31 23:00:24,78118912
1748810496,2025-06-01 17:41:36,158859470.51731166
1748923465,2025-06-03 01:04:25,211288951.41359594
1749007220,2025-06-04 00:20:20,130023332.98366691
1749044795,2025-06-04 10:46:35,76965397.58633253
1749133627,2025-06-05 11:27:07,113535847.0143388
1749200565,2025-06-06 06:02:45,169845339.8101748
1749242050,2025-06-06 17:34:10,144179567.65789753
1749327356,2025-06-07 17:15:56,126353603.84808597
1749415908,2025-06-08 17:51:48,92406194.1810602
1749520392,2025-06-09 22:53:12,118341322.50719026
1749605996,2025-06-10 22:39:56,71020421.87760313
1749651340,2025-06-11 11:15:40,85311554.67211133
1749744278,2025-06-12 13:04:38,208142211.11467332
1749846700,2025-06-13 17:31:40,126566692.17837287
1749911049,2025-06-14 11:24:09,90649658.08400844
1750039387,2025-06-15 23:03:07,129656396.4687207
1750086850,2025-06-16 12:14:10,144021913.6
1750110321,2025-06-16 18:45:21,123669801.13019888
1750191597,2025-06-17 17:19:57,99247356.14715005
1750217585,2025-06-18 00:33:05,119016303.58750525
1750413126,2025-06-20 06:52:06,113071901.65359509
1750430000,2025-06-20 11:33:20,101222468.40583865
1750519597,2025-06-21 12:26:37,88704716.89132054
1750580416,2025-06-22 05:20:16,127664287.58035947
