timestamp,data,vazao_bps
1743737650,2025-04-04 00:34:10,913311705.2857516
1743925865,2025-04-06 04:51:05,916980628.980629
1743999083,2025-04-07 01:11:23,925371096.1132884
1744041397,2025-04-07 12:56:37,904965748.0596666
1744102124,2025-04-08 05:48:44,870843108.216642
1744110077,2025-04-08 08:01:17,885524911.4697522
1744146137,2025-04-08 18:02:17,875974393.44051
1744228168,2025-04-09 16:49:28,907020008.689017
1744248800,2025-04-09 22:33:20,840020583.877878
1744284205,2025-04-10 08:23:25,776997224.6913966
1744354773,2025-04-11 03:59:33,741721512.120339
1744447559,2025-04-12 05:45:59,916057048.0412533
1744492944,2025-04-12 18:22:24,833016161.4969808
1744543748,2025-04-13 08:29:08,924940827.0575515
1744672472,2025-04-14 20:14:32,862053262.848545
1744730567,2025-04-15 12:22:47,909586332.7615834
1744820200,2025-04-16 13:16:40,860425355.9859433
1744993675,2025-04-18 13:27:55,719042853.0958632
1745407101,2025-04-23 08:18:21,893388896.1333507
1745560178,2025-04-25 02:49:38,920126222.107289
1745618452,2025-04-25 19:00:52,922224021.4472332
1745644370,2025-04-26 02:12:50,447502135.605529
1745703799,2025-04-26 18:43:19,906402017.7624727
1745730406,2025-04-27 02:06:46,832489757.9791372
1746091058,2025-05-01 06:17:38,642068269.579323
1746106321,2025-05-01 10:32:01,750781316.9375803
1746126409,2025-05-01 16:06:49,897939154.134669
1746148385,2025-05-01 22:13:05,849226333.8896648
1746168816,2025-05-02 03:53:36,856635921.9852145
1746271344,2025-05-03 08:22:24,921688948.857169
1746387316,2025-05-04 16:35:16,889841758.7671068
1746423666,2025-05-05 02:41:06,925369615.5174618
1746597807,2025-05-07 03:03:27,912227170.5829617
1746647304,2025-05-07 16:48:24,923790051.828197
1746706505,2025-05-08 09:15:05,918109219.3276838
1746714961,2025-05-08 11:36:01,924845835.4493792
1746786121,2025-05-09 07:22:01,921837685.8581017
1746907425,2025-05-10 17:03:45,759317356.645621
1746912105,2025-05-10 18:21:45,738516801.739232
1746974656,2025-05-11 11:44:16,921700239.570503
1747003462,2025-05-11 19:44:22,926417544.4922812
1747010007,2025-05-11 21:33:27,675965914.998546
1747018663,2025-05-11 23:57:43,437006890.4026093
1747092487,2025-05-12 20:28:07,770705286.763217
1747200898,2025-05-14 02:34:58,883835777.5268723
1747230391,2025-05-14 10:46:31,796713711.076167
1747345479,2025-05-15 18:44:39,837015822.156217
1747486888,2025-05-17 10:01:28,919121763.0981272
1747568079,2025-05-18 08:34:39,843837437.488384
1747683920,2025-05-19 16:45:20,816801929.5898372
1747806523,2025-05-21 02:48:43,848938857.113871
1748138292,2025-05-24 22:58:12,920665977.7545074
1748251351,2025-05-26 06:22:31,887814226.5776718
1748268547,2025-05-26 11:09:07,922708772.127711
1748339505,2025-05-27 06:51:45,887229045.7786512
1748369351,2025-05-27 15:09:11,680123890.2878628
1748473819,2025-05-28 20:10:19,923852041.9375688
1748482513,2025-05-28 22:35:13,884078422.4300692
1748495650,2025-05-29 02:14:10,910684385.5913613
1748503312,2025-05-29 04:21:52,924321222.9139568
1748525811,2025-05-29 10:36:51,924321916.156503
1748570357,2025-05-29 22:59:17,822084570.5014846
1748934826,2025-06-03 04:13:46,872561439.1284256
1749319737,2025-06-07 15:08:57,879799121.986231
1749356497,2025-06-08 01:21:37,889618744.4952937
1749403132,2025-06-08 14:18:52,884474917.369901
1749424477,2025-06-08 20:14:37,632759015.706045
1749715141,2025-06-12 04:59:01,789326191.66553
1750562427,2025-06-22 00:20:27,892340094.5312033
1750899388,2025-06-25 21:56:28,841489015.7178196
1750927338,2025-06-26 05:42:18,923783908.7011412
1750956509,2025-06-26 13:48:29,918998472.8015368
1750994398,2025-06-27 00:19:58,923186788.7275103
1751059038,2025-06-27 18:17:18,846232565.7212145
1751066477,2025-06-27 20:21:17,923434292.6678
1751233364,2025-06-29 18:42:44,891291649.970795
1751277508,2025-06-30 06:58:28,925370031.934559
1751443520,2025-07-02 05:05:20,913397199.4517075
1751505913,2025-07-02 22:25:13,923797488.3544743
1751652041,2025-07-04 15:00:41,760975141.0573026
1751831373,2025-07-06 16:49:33,924911088.0538838
1751968425,2025-07-08 06:53:45,805705344.0663465
1752573300,2025-07-15 06:55:00,802749990.8867614
1752891456,2025-07-18 23:17:36,810842035.6782748
1752978052,2025-07-19 23:20:52,904398925.3374745
1753621995,2025-07-27 10:13:15,708179963.202675
1754071025,2025-08-01 14:57:05,921575135.4831426
1754182130,2025-08-02 21:48:50,913540776.1393244
1754676933,2025-08-08 15:15:33,718947849.9419005
1754844670,2025-08-10 13:51:10,922981397.990101
1754945560,2025-08-11 17:52:40,917119114.105344
1755696185,2025-08-20 10:23:05,418382409.7353736
1757501544,2025-09-10 07:52:24,922283739.411923
1758196793,2025-09-18 08:59:53,831067545.314163
1758386963,2025-09-20 13:49:23,923827281.84986
1758739944,2025-09-24 15:52:24,864087801.4163402
1758850011,2025-09-25 22:26:51,878752119.4845774
1758885530,2025-09-26 08:18:50,868564792.80147
