timestamp,data,vazao_bps
1743703641,2025-04-03 15:07:21,891133472.0735136
1743733019,2025-04-03 23:16:59,907357674.4002784
1743769821,2025-04-04 09:30:21,887620249.7151873
1743834926,2025-04-05 03:35:26,910796947.735269
1743863158,2025-04-05 11:25:58,908483516.817584
1743880135,2025-04-05 16:08:55,907383472.202229
1743891752,2025-04-05 19:22:32,879913606.2963276
1743906796,2025-04-05 23:33:16,909588524.6239345
1743971481,2025-04-06 17:31:21,892024539.8257668
1743978848,2025-04-06 19:34:08,917137257.8352906
1743995392,2025-04-07 00:09:52,871008457.0648
1744023766,2025-04-07 08:02:46,895323928.2140528
1744039014,2025-04-07 12:16:54,904731504.3950082
1744066269,2025-04-07 19:51:09,888250150.8002414
1744082175,2025-04-08 00:16:15,853619606.0020628
1744139144,2025-04-08 16:05:44,899412299.605695
1744160570,2025-04-08 22:02:50,915886664.2756345
1744175604,2025-04-09 02:13:24,884212419.3699354
1744184333,2025-04-09 04:38:53,878917238.1713763
1744232960,2025-04-09 18:09:20,877337861.743975
1744270117,2025-04-10 04:28:37,880439754.817767
1744286719,2025-04-10 09:05:19,904086560.2077445
1744329334,2025-04-10 20:55:34,909175732.9872395
1744351878,2025-04-11 03:11:18,849714836.1722542
1744425110,2025-04-11 23:31:50,902248347.0104338
1744444735,2025-04-12 04:58:55,877865852.001833
1744509798,2025-04-12 23:03:18,889194493.1473343
1744541199,2025-04-13 07:46:39,889984636.6076818
1744583036,2025-04-13 19:23:56,910949918.85735
1744640244,2025-04-14 11:17:24,893864424.955965
1744700824,2025-04-15 04:07:04,892860984.4663627
1744722767,2025-04-15 10:12:47,895683390.5502117
1744860905,2025-04-17 00:35:05,913582444.0088983
1744882545,2025-04-17 06:35:45,891814958.1779498
1744911767,2025-04-17 14:42:47,898683184.1539803
1744975421,2025-04-18 08:23:41,883758718.4450343
1745003400,2025-04-18 16:10:00,883762338.489028
1745012335,2025-04-18 18:38:55,900045534.0136602
1745061335,2025-04-19 08:15:35,904135198.481119
1745091065,2025-04-19 16:31:05,882535005.315256
1745105274,2025-04-19 20:27:54,888616308.8006006
1745135730,2025-04-20 04:55:30,896007385.593353
1745272074,2025-04-21 18:47:54,887517788.3363698
1745345463,2025-04-22 15:11:03,909011079.806648
1745395356,2025-04-23 05:02:36,884896604.762268
1745425189,2025-04-23 13:19:49,893807210.278292
1745504871,2025-04-24 11:27:51,879331968.9670076
1745547742,2025-04-24 23:22:22,916667293.3681394
1745584225,2025-04-25 09:30:25,893235226.8851697
1750639313,2025-06-22 21:41:53,878862700.049085
1750800249,2025-06-24 18:24:09,884370722.9229097
1751024584,2025-06-27 08:43:04,871002613.0524825
1751185302,2025-06-29 05:21:42,886938807.844927
1751194186,2025-06-29 07:49:46,900285493.4710642
1751208339,2025-06-29 11:45:39,891500429.575537
1751404377,2025-07-01 18:12:57,885261748.6818852
1751549583,2025-07-03 10:33:03,887619983.4289925
1751592682,2025-07-03 22:31:22,891292140.1825994
1751651620,2025-07-04 14:53:40,882481827.4745585
1751751443,2025-07-05 18:37:23,883307261.1218092
1751774528,2025-07-06 01:02:08,901146602.226699
1751832228,2025-07-06 17:03:48,891814868.996356
1752157866,2025-07-10 11:31:06,890242448.3879175
1752487545,2025-07-14 07:05:45,887988450.3757458
1752509428,2025-07-14 13:10:28,889150647.3041586
1752667957,2025-07-16 09:12:37,887587498.1437416
1752703605,2025-07-16 19:06:45,893138004.4225056
1752929551,2025-07-19 09:52:31,896532435.1733782
1753032333,2025-07-20 14:25:33,893908984.0093367
1753779395,2025-07-29 05:56:35,891136410.0614356
1753910724,2025-07-30 18:25:24,892083291.6249875
1754047942,2025-08-01 08:32:22,883950717.1359322
1754071660,2025-08-01 15:07:40,892666215.6666214
1754856210,2025-08-10 17:03:30,890181733.9634216
1754883711,2025-08-11 00:41:51,887146970.725075
1754950477,2025-08-11 19:14:37,883712173.0915093
1755055095,2025-08-13 00:18:15,888827224.054448
1755156231,2025-08-14 04:23:51,884266041.9719903
1755461599,2025-08-17 17:13:19,894226551.7378794
1755564458,2025-08-18 21:47:38,889196580.811965
1755651708,2025-08-19 22:01:48,888826335.226335
1756153132,2025-08-25 17:18:52,885062232.0813304
1756661498,2025-08-31 14:31:38,887439030.8073215
1757104862,2025-09-05 17:41:02,889191958.9444226
1758311877,2025-09-19 16:57:57,871890159.2988566
1758614944,2025-09-23 05:09:04,648964400.2608403
1758689667,2025-09-24 01:54:27,894281216.2983178
1758701968,2025-09-24 05:19:28,659606468.9574124
1758738200,2025-09-24 15:23:20,882077688.8417333
