dataset,imputation,missing_rate,rmse,mae,r2,mape,n_imputed,timestamp
bbr_esmond_data_pb-go_2024-2025,mean_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,mean_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,linear_interpolation,10,3642722411.952852,2813181646.638889,-0.4686410422742546,93.52354595344528,3,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,mean_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,linear_interpolation,10,3642722411.952852,2813181646.638889,-0.4686410422742546,93.52354595344528,3,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,knn_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,mean_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,linear_interpolation,10,3642722411.952852,2813181646.638889,-0.4686410422742546,93.52354595344528,3,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,knn_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,mean_imputation,20,2362152117.179418,2139522767.0530536,-0.1950521401645313,37.10758115496017,9,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,mean_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,linear_interpolation,10,3642722411.952852,2813181646.638889,-0.4686410422742546,93.52354595344528,3,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,knn_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,mean_imputation,20,2362152117.179418,2139522767.0530536,-0.1950521401645313,37.10758115496017,9,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,linear_interpolation,20,3727294863.363177,3410630149.3981485,-1.975490939120436,53.33931277877439,9,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,mean_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,linear_interpolation,10,3642722411.952852,2813181646.638889,-0.4686410422742546,93.52354595344528,3,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,knn_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,mean_imputation,20,2362152117.179418,2139522767.0530536,-0.1950521401645313,37.10758115496017,9,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,linear_interpolation,20,3727294863.363177,3410630149.3981485,-1.975490939120436,53.33931277877439,9,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,knn_imputation,20,2362152117.179418,2139522767.0530536,-0.1950521401645313,37.10758115496017,9,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,mean_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,linear_interpolation,10,3642722411.952852,2813181646.638889,-0.4686410422742546,93.52354595344528,3,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,knn_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,mean_imputation,20,2362152117.179418,2139522767.0530536,-0.1950521401645313,37.10758115496017,9,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,linear_interpolation,20,3727294863.363177,3410630149.3981485,-1.975490939120436,53.33931277877439,9,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,knn_imputation,20,2362152117.179418,2139522767.0530536,-0.1950521401645313,37.10758115496017,9,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,mean_imputation,30,2171984982.028458,2033922494.6550128,-0.4788301743637781,31.47326001041636,13,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,mean_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,linear_interpolation,10,3642722411.952852,2813181646.638889,-0.4686410422742546,93.52354595344528,3,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,knn_imputation,10,2876647502.1309595,2688048972.373016,-0.0523347123481645,61.17915352935766,4,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,mean_imputation,20,2362152117.179418,2139522767.0530536,-0.1950521401645313,37.10758115496017,9,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,linear_interpolation,20,3727294863.363177,3410630149.3981485,-1.975490939120436,53.33931277877439,9,2025-09-04 20:36:03
bbr_esmond_data_pb-go_2024-2025,knn_imputation,20,2362152117.179418,2139522767.0530536,-0.1950521401645313,37.10758115496017,9,2025-09-04 20:36:03
