filename,route,date,imputation_method,rmse,mae,n_predictions
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_HoltWinters_imputed.csv,pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023,10-24-2023,HoltWinters,310552053.5674937,299204941.14127856,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_Mean_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,10-24-2023,Mean,49146961.45531189,31712599.535966303,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_HoltWinters_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-poz-pl.geant.org,10-24-2023,HoltWinters,119852923.8114319,79219660.2464503,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv,psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,10-24-2023,SVD_KNN_Hankel,38479564.564960346,23085815.988168716,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_Spline_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,10-24-2023,Spline,500863760.73546505,484078258.05727935,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_IterativeSVD_imputed.csv,psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,IterativeSVD,57682995.412385136,18528418.372232955,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_HoltWinters_imputed.csv,psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,HoltWinters,57612563.6834827,15249981.492639406,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_IterativeSVD_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,IterativeSVD,76033410.65329066,50496895.29369525,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_HoltWinters_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,HoltWinters,89216872.56189612,59319066.355809286,143
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_KNN_Sklearn_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,KNN_Sklearn,76017726.82501096,40295434.524734244,143
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_LOCF_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-poz-pl.geant.org,10-24-2023,LOCF,106930862.55176745,63448499.2702042,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_Mean_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-poz-pl.geant.org,10-24-2023,Mean,92516508.26356457,41617102.239068195,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_Linear_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,10-24-2023,Linear,75670524.60869066,58117141.77602782,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_LOCF_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,LOCF,142576085.41667,112354958.52885994,143
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Mean_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,Mean,56416921.73623353,17175957.92442416,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv,psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023,10-24-2023,SVD_KNN_Hankel,31447958.628096912,19640864.346793666,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,10-24-2023,SVD_KNN_Hankel,49696438.2522268,35064770.39207907,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_Spline_imputed.csv,psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023,10-24-2023,Spline,75246978.27901466,41776743.19317344,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_ARIMA_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-poz-pl.geant.org,10-24-2023,ARIMA,92926813.80255452,47701272.190767795,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_SVD_KNN_imputed.csv,psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,SVD_KNN,57808582.430821635,14364692.58678553,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_Mean_imputed.csv,psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,10-24-2023,Mean,37309507.399784505,23342155.97078209,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_ARIMA_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,10-24-2023,ARIMA,70296713.90625572,53562600.932473764,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_HoltWinters_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,10-24-2023,HoltWinters,75765580.17808,58478845.21335558,144
