filename,route,date,imputation_method,rmse,mae,n_predictions
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_SVD_KNN_imputed.csv,sonda.rediris.es -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,SVD_KNN,94254097.54645124,84080499.15262182,48
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv,psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,SVD_KNN_Hankel,57700176.41009064,14064876.690219032,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Spline_imputed.csv,psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,Spline,122809204.78231333,107456026.33129112,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_KNN_Sklearn_imputed.csv,psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,10-24-2023,KNN_Sklearn,109594495.59464967,65202996.906515375,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_LOCF_imputed.csv,pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023,10-24-2023,LOCF,132011628.82484367,93739472.83259815,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_SVD_KNN_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,10-24-2023,SVD_KNN,54373549.96930536,41436984.45667253,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_ARIMA_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,ARIMA,66105806.81015563,35488858.80692938,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_Mean_imputed.csv,pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023,10-24-2023,Mean,78299319.26307938,40542625.352289096,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_KNN_Sklearn_imputed.csv,psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023,10-24-2023,KNN_Sklearn,30337322.565070923,18085956.151937377,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_LOCF_imputed.csv,psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,10-24-2023,LOCF,236089141.88364,122459785.15287045,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_IterativeSVD_imputed.csv,psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023,10-24-2023,IterativeSVD,35443103.77734479,24673799.745044265,144
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Mean_imputed.csv,sonda.rediris.es -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,Mean,72561339.48693173,60096388.09864217,48
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_SoftImpute_imputed.csv,pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023,10-24-2023,SoftImpute,619392895.799379,485054736.687203,144
imputation_summary.csv,imputation_summary.csv,Unknown,Unknown,0.0,0.0,24
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_ARIMA_imputed.csv,psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,10-24-2023,ARIMA,39340318.28072366,24237077.71977355,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_KNN_Sklearn_imputed.csv,psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,10-24-2023,KNN_Sklearn,37309507.399784505,23342155.97078209,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_Linear_imputed.csv,psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,10-24-2023,Linear,41115309.787486576,27889124.397216216,144
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Kalman_imputed.csv,sonda.rediris.es -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,Kalman,195095000.83350196,180812192.23267618,48
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_ARIMA_imputed.csv,psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,ARIMA,57762478.34649537,18908554.974276695,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_SoftImpute_imputed.csv,psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,SoftImpute,731750539.5829091,595697744.9139091,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Spline_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,Spline,288819107.78527653,266465115.79514745,143
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_KNN_Sklearn_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,KNN_Sklearn,56416921.73623353,17175957.92442416,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_SVD_KNN_imputed.csv,psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,10-24-2023,SVD_KNN,110326964.60861589,62655355.43553073,142
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_KNN_Sklearn_imputed.csv,psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,KNN_Sklearn,57590811.73821492,13100802.201291323,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_Mean_imputed.csv,psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023,10-24-2023,Mean,30337322.565070923,18085956.151937377,144
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_KNN_Sklearn_imputed.csv,sonda.rediris.es -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,KNN_Sklearn,72561339.48693173,60096388.09864217,48
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Linear_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,Linear,89341841.07441491,61485559.703780726,143
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Spline_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,Spline,155293453.27313766,134829578.5254069,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_IterativeSVD_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-poz-pl.geant.org,10-24-2023,IterativeSVD,103770656.88433929,60912998.992361,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_HoltWinters_imputed.csv,psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023,10-24-2023,HoltWinters,31805389.237004936,21051133.297444463,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Linear_imputed.csv,psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,Linear,57682995.412385136,18528418.372232955,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_Kalman_imputed.csv,psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023,10-24-2023,Kalman,44014458.01412044,31435909.669797845,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_Mean_imputed.csv,psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,10-24-2023,Mean,109594495.59464967,65202996.906515375,144
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_SoftImpute_imputed.csv,sonda.rediris.es -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,SoftImpute,1010547323.4773606,1003465268.1705275,48
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_SVD_KNN_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-poz-pl.geant.org,10-24-2023,SVD_KNN,93933106.67583399,46922418.63665836,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv,psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,10-24-2023,SVD_KNN_Hankel,106517663.10165235,51522249.19228896,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Kalman_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,Kalman,172841481.4247297,162019433.81481192,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_Spline_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-poz-pl.geant.org,10-24-2023,Spline,344307437.5931307,323017353.3547328,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_LOCF_imputed.csv,psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,10-24-2023,LOCF,64727549.46851719,50096824.944890395,144
