file,rate,method,rmse,nrmse,nrmse_mean,mae,mape,r2
232,10,Temporal_Matrix+SVD+KNN,370755.03922647494,0.12524075504504018,1.0427596004667696,254954.30554129346,175.8876336781617,-0.10448379993655443
232,10,linear interpolation,327970.7256240758,0.1107882482070276,0.9224274430094829,218417.1635992403,105.31417265568935,0.13571816275785198
232,10,knn imputer (k=5),353572.3664155929,0.11943646194354514,0.9944328209505463,256872.77218263713,223.05621200495418,-0.004481298618275176
232,10,"kalman arima (1,1,1)",331586.87582651275,0.11200978084662264,0.9325979732555132,233484.25481191202,163.27616688619915,0.11655423979733981
232,10,kalman structural (level),356257.64447697235,0.12034354672009921,1.0019852455494627,231784.81960127573,134.67752496166614,-0.01979671631080482
232,10,ewma (alpha=0.2),345574.1000970871,0.11673465399274588,0.9719374584920545,237222.61929757675,151.4546809498803,0.04045002917442031
232,10,mean,353572.3664155929,0.11943646194354514,0.9944328209505463,256872.77218263713,223.05621200495418,-0.004481298618275176
232,10,soft_impute,500872.0079098127,0.1691941627615533,1.4087174538280132,355551.7868744763,100.0,-1.0157596483565419
232,10,ffill,432755.0429010267,0.14618430658569218,1.2171364590942308,266096.8806401877,125.01859170632474,-0.5047678366068722
232,20,Temporal_Matrix+SVD+KNN,376148.56297785585,0.12701856811488865,1.032448277735348,258303.42085379726,187.34777127278483,-0.10357714363001591
232,20,linear interpolation,355882.37944938947,0.12017504439500437,0.9768218887506708,228975.69853460015,112.39087512867489,0.012136692948938488
232,20,knn imputer (k=5),358409.81323290284,0.12102851308207195,0.9837591601208452,258782.18636351623,234.46662200852066,-0.0019445039946119902
232,20,"kalman arima (1,1,1)",337271.68721512315,0.11389055015020634,0.925739473354438,235256.77961308515,171.15912127176736,0.11275481004204058
232,20,kalman structural (level),365658.65559072903,0.1234763160711155,1.0036556997983164,240784.037032199,142.59204371905054,-0.04288302736841776
232,20,ewma (alpha=0.2),353515.2768251048,0.11937571664126433,0.970324692514381,241736.0947096994,157.46419020235024,0.025234262682299335
232,20,mean,358409.81323290284,0.12102851308207195,0.9837591601208452,258782.18636351623,234.46662200852066,-0.0019445039946119902
232,20,soft_impute,510825.11669881153,0.17249640505478608,1.4021069435554234,364326.78623178025,100.0,-1.0352997016561285
232,20,ffill,450975.13277402363,0.15228614770422644,1.2378313915329815,272013.2580246913,128.42342539343997,-0.5863136940854914
232,30,Temporal_Matrix+SVD+KNN,398175.8176269023,0.09982473598921375,1.077210533915322,264237.1745523056,185.1914834097322,-0.07115108806241244
232,30,linear interpolation,410066.3185908572,0.10280574605301047,1.109378667500733,242254.74056281598,124.31399865599889,-0.13608067088753173
232,30,knn imputer (k=5),384865.7715813668,0.0964878386346264,1.0412020141297644,264469.3710593623,234.70571711396738,-0.0007360595924135183
232,30,"kalman arima (1,1,1)",369383.66822765477,0.09260639528366384,0.9993172886354317,245365.05677467774,179.5690059813931,0.0781582955730582
232,30,kalman structural (level),397516.2336581592,0.09965937487829818,1.075426119172693,249851.78463318327,148.63554018278887,-0.06760527297689256
232,30,ewma (alpha=0.2),386628.2107667512,0.09692969124995247,1.0459700537038306,250877.74193277588,161.34101099085422,-0.009922508317447454
232,30,mean,384865.7715813668,0.0964878386346264,1.0412020141297644,264469.3710593623,234.70571711396738,-0.0007360595924135183
232,30,soft_impute,533519.9203510418,0.13375620225117044,1.4433656008570621,369636.0229412706,100.0,-0.9231016982140796
232,30,ffill,473143.6312269601,0.11861955443126856,1.2800257601032983,282093.9932223822,139.91492229377866,-0.5124706977059612
232,40,Temporal_Matrix+SVD+KNN,416841.4973704076,0.08182187326961073,1.1055031486057119,270862.91787930025,180.51732123303125,-0.08885215504610966
232,40,linear interpolation,441518.89401999535,0.08666580275845491,1.1709499428131258,260007.90530891696,133.86325948619714,-0.2215903878093921
232,40,knn imputer (k=5),399472.31129301764,0.07841247341142524,1.0594384213211097,267168.7323461826,232.99754222897292,-8.86787983489512e-07
232,40,"kalman arima (1,1,1)",387625.9015759156,0.07608714006364847,1.0280206202515287,251943.59967469954,186.17516565509132,0.05843002935688468
232,40,kalman structural (level),421414.57664750435,0.0827195236125419,1.1176313881681026,261028.89914181447,154.62098046550616,-0.11287433741355457
232,40,ewma (alpha=0.2),405870.43274295947,0.07966836152655579,1.0764068456567204,257987.29082265665,164.35941359366174,-0.03229030724654014
232,40,mean,399472.31129301764,0.07841247341142524,1.0594384213211097,267168.7323461826,232.99754222897292,-8.86787983489512e-07
232,40,soft_impute,549320.0862136497,0.10782611319209726,1.4568489191514513,377060.43433357787,100.0,-0.8909410046037041
232,40,ffill,498070.2422313133,0.09776627446235628,1.3209294767604296,299235.6163283607,152.54060321859595,-0.5545625837804757
177,10,Temporal_Matrix+SVD+KNN,310042.0992931428,0.06556430556581107,2.397015375009354,99083.11032857279,267.58511344346897,0.24000640090336134
177,10,linear interpolation,408563.5943866568,0.08639855170154084,3.1587104449578267,116050.60015976762,234.4750635759076,-0.31973862701503153
177,10,knn imputer (k=5),357004.40424237767,0.07549537918060818,2.7600930578977034,191924.4760456124,2046.2247915454604,-0.007664003473699443
177,10,"kalman arima (1,1,1)",324020.6427004835,0.06852033474189176,2.5050870967014163,136858.32269705215,820.4000930838321,0.16993145829696665
177,10,kalman structural (level),372672.74148122175,0.07880874743858936,2.8812290112020023,121730.83673653191,294.2899495815387,-0.09805439162174179
177,10,ewma (alpha=0.2),338403.0451888173,0.07156176761073589,2.616281157032924,135619.3656171954,553.3494701929822,0.09460702216947203
177,10,mean,357004.40424237767,0.07549537918060818,2.7600930578977034,191924.4760456124,2046.2247915454604,-0.007664003473699443
177,10,soft_impute,378434.83576639555,0.08002725199417539,2.9257772471522308,129345.06074744427,100.0,-0.13227211416222673
177,10,ffill,558461.6833955301,0.11809735690868994,4.317611203461163,129932.5259594436,188.9884179519039,-1.465785867236172
177,20,Temporal_Matrix+SVD+KNN,352024.7216111957,0.07198183741374753,2.341112242049748,108249.58976253656,199.2353204109217,0.21547732054499968
177,20,linear interpolation,428078.90429883584,0.08753335830637296,2.846904498156626,132336.2203347936,224.25601709126698,-0.16013045628071643
177,20,knn imputer (k=5),397538.2491890655,0.08128842056291276,2.643796315212952,205042.39405819713,2009.683219459414,-0.0004998247993854843
177,20,"kalman arima (1,1,1)",350863.97628758696,0.07174448879578582,2.333392798157953,152459.9204021443,807.2281129466784,0.2206424674531664
177,20,kalman structural (level),430363.79910827347,0.08800057244385649,2.862100008249461,148941.4611306191,313.49999421648124,-0.17254802866275853
177,20,ewma (alpha=0.2),371616.5240752033,0.07598795929391493,2.471405956600192,151988.52786735797,532.4108634791683,0.12572268631445283
177,20,mean,397538.2491890655,0.08128842056291276,2.643796315212952,205042.39405819713,2009.683219459414,-0.0004998247993854843
177,20,soft_impute,424932.671974649,0.08689001830857694,2.8259807318461974,150366.44347431304,100.0,-0.14314000597880328
177,20,ffill,614802.9992000489,0.12571460699507533,4.088698149631204,161651.25387335723,237.3513356606418,-1.3929362592166545
177,30,Temporal_Matrix+SVD+KNN,393171.82083327096,0.06895005030732057,2.617620200573465,122416.21613623897,291.7039665304914,0.07506656348134921
177,30,linear interpolation,423513.14200363855,0.07427096983978769,2.8196236275721698,134840.52976081506,263.0541796691374,-0.07319711086400371
177,30,knn imputer (k=5),408948.66178946797,0.07171681516680341,2.722657681389489,206235.63105611535,2002.5628297773846,-0.0006525230317937503
177,30,"kalman arima (1,1,1)",358076.56061136926,0.06279543843121976,2.3839664715077973,154118.8250620003,823.5838462717533,0.2328196002552212
177,30,kalman structural (level),419564.7821397652,0.07357855091040333,2.793336630409189,148445.25627606583,347.73284677613765,-0.053279824936335096
177,30,ewma (alpha=0.2),378829.618792699,0.0664348762795396,2.5221341158827024,154120.43944279777,565.1828079133845,0.1413156140019789
177,30,mean,408948.66178946797,0.07171681516680341,2.722657681389489,206235.63105611535,2002.5628297773846,-0.0006525230317937503
177,30,soft_impute,435534.8393087681,0.0763791998553858,2.8996604868882683,150202.01202112337,100.0,-0.13498863708918885
177,30,ffill,561426.8323562336,0.09845672116786196,3.7378116631172587,158121.93455379526,250.97254747322393,-0.8859581099973595
177,40,Temporal_Matrix+SVD+KNN,454547.65265509696,0.04198073002364839,2.938847846730379,127860.79269412883,273.5221178626388,0.04053316927284001
177,40,linear interpolation,458408.6687266617,0.04233732250052192,2.9638109913024167,139282.28231481576,272.867066908202,0.02416414712620396
177,40,knn imputer (k=5),464072.5139652972,0.04286041915819908,3.000430208862007,210045.79557716098,1943.8792449056236,-9.860273033690525e-05
177,40,"kalman arima (1,1,1)",417618.60728097375,0.03857006829252627,2.700085541291965,160438.32809954596,831.4994335947141,0.1901011015834132
177,40,kalman structural (level),441439.38628990407,0.04077008777714055,2.8540972157312,148257.17543817573,327.0495030388315,0.09507354331247964
177,40,ewma (alpha=0.2),424632.16789465235,0.039217820828278,2.7454312545236252,156218.8881876325,552.9934014245955,0.16266950401660185
177,40,mean,464072.5139652972,0.04286041915819908,3.000430208862007,210045.79557716098,1943.8792449056236,-9.860273033690525e-05
177,40,soft_impute,489146.6637770911,0.04517619640987516,3.162545469500916,154668.65804597703,100.0,-0.11109020335888853
177,40,ffill,537748.2807850644,0.049664903700313325,3.4767760164131807,159248.70606749816,248.34728361578442,-0.3428552086105443
84,10,Temporal_Matrix+SVD+KNN,436819.2613264888,0.1574542299426168,0.8049674754291383,333042.51744092966,124.63262346779207,-0.2531799860241626
84,10,linear interpolation,510189.627237343,0.1839010364090262,0.9401738718669295,321810.0092542316,100.25129011477595,-0.709515879991597
84,10,knn imputer (k=5),391589.4651843979,0.14115086753962147,0.7216183238736144,306148.99436437717,121.90731437822141,-0.007098361272062759
84,10,"kalman arima (1,1,1)",382323.32561922004,0.13781082968198358,0.704542746780002,282739.9971454247,102.20396706858254,0.03999945289798834
84,10,kalman structural (level),426891.6061050895,0.1538757446366474,0.7866728619172864,299100.21287783154,97.17340731801983,-0.19686487297898236
84,10,ewma (alpha=0.2),405565.1003663798,0.14618847249517122,0.7473725265060622,293227.1119718786,98.81255444520932,-0.08026683287253311
84,10,mean,391589.4651843979,0.14115086753962147,0.7216183238736144,306148.99436437717,121.90731437822141,-0.007098361272062759
84,10,soft_impute,668382.7199138405,0.24092272431257766,1.231690995117021,542654.5477425843,100.0,-1.9340013998053456
84,10,ffill,593322.4425305641,0.2138667787052947,1.093370441653453,351907.704970672,103.29589591944574,-1.3120192298757472
84,20,Temporal_Matrix+SVD+KNN,517607.9034137938,0.08112883443595538,0.9039904818988999,354427.0625830363,129.44078888294374,-0.15065088377360225
84,20,linear interpolation,569308.883551644,0.08923234334707625,0.9942850729227493,338509.34639469,94.78737137463644,-0.3919950747837664
84,20,knn imputer (k=5),482535.46899023093,0.07563165074372641,0.8427372694057784,325335.5974800975,130.62192921947658,-6.011980822062668e-07
84,20,"kalman arima (1,1,1)",455958.64638632163,0.07146605236965635,0.7963214505695599,293811.07150877966,102.58341439697864,0.10712083550105722
84,20,kalman structural (level),494182.9650291817,0.07745725613248737,0.8630793574761555,315517.37930088054,95.58743095972791,-0.04885950660758609
