file,rate,method,rmse,nrmse,nrmse_mean,mae,mape,r2,k
232,10,Temporal_Matrix+SVD+KNN,380167.01003200357,0.1284201112382981,1.0692310489392012,254206.93555813254,166.4109420934811,-0.16127233336507585,5
232,20,Temporal_Matrix+SVD+KNN,384317.74620346905,0.12977715357317376,1.0548709585107772,259333.7615561893,181.63340561026254,-0.15203257881704957,5
232,30,Temporal_Matrix+SVD+KNN,405318.7281984426,0.10161550059729124,1.0965347072323668,268893.5430205396,183.38681094076526,-0.10992674087372012,5
232,40,Temporal_Matrix+SVD+KNN,421316.38392777176,0.08270024935045273,1.1173709717711764,275362.2420011044,186.38525978190438,-0.11235578189654749,5
177,10,Temporal_Matrix+SVD+KNN,324674.4039393786,0.06865858500445846,2.5101414933294532,103146.21366789663,252.25822114629938,0.16657849849685047,5
177,20,Temporal_Matrix+SVD+KNN,354259.7572463695,0.07243885637244073,2.3559761676938735,110082.363167595,199.12478091044085,0.20548369000349265,5
177,30,Temporal_Matrix+SVD+KNN,396837.699474139,0.06959293085804949,2.6420265223766144,122403.6448366389,241.44459737255545,0.0577382570063365,5
177,40,Temporal_Matrix+SVD+KNN,457006.9088550391,0.04220785994057944,2.9547480053728052,128113.60462431399,223.19040167939716,0.030123005294918737,5
84,10,Temporal_Matrix+SVD+KNN,435358.21246010036,0.156927585756948,0.8022750648108796,335138.67516878,125.41215184727972,-0.24481087175796334,5
84,20,Temporal_Matrix+SVD+KNN,523601.02296067437,0.08206818408704651,0.9144573294712236,356256.55546555767,130.2520814225533,-0.17745074843558029,5
84,30,Temporal_Matrix+SVD+KNN,522534.3263293281,0.08190099217628333,0.906590775072349,363047.6504215299,134.04003116840428,-0.24378536647587712,5
84,40,Temporal_Matrix+SVD+KNN,552707.419416996,0.06660478079408907,0.9656210966129979,372366.9990144204,139.43699645895606,-0.2949792772004889,5
231,10,Temporal_Matrix+SVD+KNN,400553.2906154055,0.0602559778393796,2.1559072484044903,133820.60033383776,145.71449773326103,0.23897913498978163,5
231,20,Temporal_Matrix+SVD+KNN,488930.12524773856,0.06708189504915191,2.5164444893548885,156646.5434310281,232.74162695778955,0.07584599197284636,5
231,30,Temporal_Matrix+SVD+KNN,478069.20848661877,0.06559176212282046,2.516562312243107,155574.6136759664,215.28346493516048,0.06859636331551555,5
231,40,Temporal_Matrix+SVD+KNN,501304.99587405444,0.0640506573982615,2.572417858761317,155525.54062696075,7566.292668833026,0.07744608664020591,5
125,10,Temporal_Matrix+SVD+KNN,1233736.0925694592,0.06906516547734202,0.5121967785234135,814941.3778928469,42.39003354346902,0.29464217970446926,5
125,20,Temporal_Matrix+SVD+KNN,1278817.043433227,0.0714289620413969,0.5232916233901519,874948.4620761253,46.496022810658886,0.24255816880668324,5
125,30,Temporal_Matrix+SVD+KNN,1342876.4762124014,0.05604888531497465,0.5499423662686714,883094.7092836028,47.06187235899614,0.19063557532260456,5
125,40,Temporal_Matrix+SVD+KNN,1343542.9032702348,0.05607670060133715,0.5526410991303881,896820.0993467738,47.6466284141086,0.1512955951518673,5
196,10,Temporal_Matrix+SVD+KNN,499773.804024865,0.05607299363678914,1.622385513192751,170504.79456230186,180.60671891931815,0.43508933452247034,5
196,20,Temporal_Matrix+SVD+KNN,469256.1137345889,0.05264532272192893,1.40602630232583,182833.9981288711,199.22291734576396,0.4882609486051239,5
196,30,Temporal_Matrix+SVD+KNN,450267.2709254788,0.050514809506194136,1.3513868252092816,188024.59042965126,210.38830828357897,0.4940569018501325,5
196,40,Temporal_Matrix+SVD+KNN,462218.8077057103,0.05185563448447596,1.4040154520894121,196170.50513331516,215.7350852470306,0.46275434894881384,5
11,10,Temporal_Matrix+SVD+KNN,2864637.18244944,0.11895462446285848,1.6489715010667318,1617874.749630325,3300.16101007301,-0.07021252276477163,5
11,20,Temporal_Matrix+SVD+KNN,3138731.4685709355,0.09917163067597828,1.7154243094833725,1674050.0481267145,3856.903206702916,-0.04282726782302637,5
11,30,Temporal_Matrix+SVD+KNN,3182126.436252499,0.10054274182428924,1.714546037645461,1686049.0524084973,3905.392276007164,-0.06368659625357753,5
11,40,Temporal_Matrix+SVD+KNN,3281298.61983123,0.10367613293183645,1.7420239227012646,1741783.328839756,3318.281496750343,-0.0840164474660341,5
15,10,Temporal_Matrix+SVD+KNN,983353.0809650292,0.05560169064891251,3.015304188632799,235165.44984836676,295.6745506321684,0.10931865781938965,5
15,20,Temporal_Matrix+SVD+KNN,754166.8495644322,0.04264187651456654,2.468626602942722,212985.72014889691,321.17896827019365,0.15021791789428485,5
15,30,Temporal_Matrix+SVD+KNN,692268.2416506368,0.039141696266003945,2.354177492576218,215845.10683482076,389.92780739842334,0.14356528547443703,5
15,40,Temporal_Matrix+SVD+KNN,727468.7130556437,0.0411319741341172,2.4496008457687446,220853.09131592495,393.0247027279851,0.12952654225197624,5
180,10,Temporal_Matrix+SVD+KNN,421293.69592347584,0.07994052012699789,1.08746396419231,259922.59182388242,254.51293898430612,0.13519271708416958,5
180,20,Temporal_Matrix+SVD+KNN,444827.96500455594,0.08437762102222753,1.1205715868389325,254303.66677713496,232.4412424111296,0.12126419457231985,5
180,30,Temporal_Matrix+SVD+KNN,472736.0890542851,0.052827186983965456,1.1922669268561712,252958.0509722094,235.57971405823025,0.14714739063406224,5
