dataset,missing_rate,median_rmse,interpolation_rmse,hybrid_rmse
0.csv_missing_10%,0.1,236276.05924589964,55170.21049649763,55170.21049649763
0.csv_missing_20%,0.2,240612.0441348222,55875.1506754292,55875.1506754292
0.csv_missing_30%,0.3,239727.38278242832,57637.73141322967,57637.73141322967
0.csv_missing_40%,0.4,242135.21093368897,63093.08420093543,63093.08420093543
1.csv_missing_10%,0.1,302945.5529191561,62013.43002026572,62013.43002026572
1.csv_missing_20%,0.2,307062.04392655235,61948.29596594112,61948.29596594112
1.csv_missing_30%,0.3,304330.1815061298,62793.26836713606,62793.26836713606
1.csv_missing_40%,0.4,304910.3029055101,65788.1491584473,65788.1491584473
2.csv_missing_10%,0.1,362477.7872280481,100817.43053700296,100817.43053700296
2.csv_missing_20%,0.2,375299.7476099991,95545.27307354737,95545.27307354737
2.csv_missing_30%,0.3,368513.63847464963,103569.38418942023,103569.38418942023
2.csv_missing_40%,0.4,366551.59907027223,109760.01661235803,109760.01661235803
3.csv_missing_10%,0.1,141775.39327405716,43517.09789623836,43517.09789623836
3.csv_missing_20%,0.2,148350.65339525024,46706.09800566545,46706.09800566545
3.csv_missing_30%,0.3,147015.64539025622,46010.85414717914,46010.85414717914
3.csv_missing_40%,0.4,145978.67569306443,46740.34059953495,46740.34059953495
4.csv_missing_10%,0.1,5499.935980568039,1818.2120638648962,1818.2120638648962
4.csv_missing_20%,0.2,5740.470698295814,1992.6346600508643,1992.6346600508643
4.csv_missing_30%,0.3,5838.719862252408,2339.7183786032238,2339.7183786032238
4.csv_missing_40%,0.4,5776.294657978305,2396.808262756679,2396.808262756679
5.csv_missing_10%,0.1,7104.8523814355885,1748.0394518170726,1748.0394518170726
5.csv_missing_20%,0.2,7479.655484310658,2119.037971171735,2119.037971171735
5.csv_missing_30%,0.3,7477.271812823315,2442.3421781782895,2442.3421781782895
5.csv_missing_40%,0.4,7393.682033994243,2566.502580446356,2566.502580446356
