dataset,missing_rate,pattern,median_rmse,median_mae,median_mape,median_r2,interpolation_rmse,interpolation_mae,interpolation_mape,interpolation_r2,knn_rmse,knn_mae,knn_mape,knn_r2,hybrid_svd_rmse,hybrid_svd_mae,hybrid_svd_mape,hybrid_svd_r2
0.csv_random_missing_10%,0.1,random,36982620334.83215,30940910395.25867,75.62856322807644,-0.010966253516558666,9526901384.95283,6734187086.731021,12.027654528168034,0.932912031623932,77362886502.11324,68059811977.72398,100.0,-3.4239135506226273,9780902045.586996,7290964737.784202,14.027256077505418,0.929287023237124
0.csv_random_missing_20%,0.2,random,36804359179.48805,30600045268.581722,73.56593548432492,-0.01805442412634428,10391522120.963669,7524672854.472952,13.597506746570346,0.9188420987420267,77972758104.9909,68914528676.35413,100.0,-3.5693904328298,10345377205.621323,7746313037.86496,15.242869809807416,0.9195612829584472
0.csv_random_missing_30%,0.3,random,36707571963.842636,30456311985.269802,72.61977741458328,-0.02372536513709611,11033220800.460745,8045295954.466522,14.531139196456754,0.9075138363195167,77971367278.64848,69016780789.0485,100.0,-3.6189413330702367,10823684569.503763,8115734328.894494,15.842031677159248,0.9109933611979777
0.csv_random_missing_40%,0.4,random,37234559021.40502,30752764461.694057,72.44696623075927,-0.030747740473531016,12061451391.846579,8799647457.07918,16.899071520824904,0.8918418864552887,78374925522.5261,69264521702.76009,100.0,-3.5668236793007146,11638862916.5751,8721240415.09912,17.309047167160312,0.89928803535371
0.csv_random_missing_50%,0.5,random,37161272293.25355,30590104684.548832,71.14454041579148,-0.03427714213206734,14425085257.600794,10146981390.692247,19.955765127681836,0.8441551142219357,78233036801.82117,69175244903.91432,100.0,-3.5839107703630013,13115447714.362848,9797245588.466442,19.477773874391968,0.8711685133044897
0.csv_consecutive_missing_10%,0.1,consecutive,33909471125.63416,28660747932.880108,67.45152497404301,-0.011559198732114195,45167477216.4673,34682996805.59794,81.33455502079461,-0.794737509310181,75598536007.05623,67664066555.99112,100.0,-4.027777403752497,27159363780.64324,22154346433.244274,56.45843278338118,0.3510840402058396
0.csv_consecutive_missing_20%,0.2,consecutive,36345718201.046715,30511072296.289524,64.38659143479025,-0.04726538458609464,40285650455.2479,31360794931.336353,71.5145982887084,-0.2866220773240078,79450975955.98267,71070855377.48206,100.0,-4.004361929474982,31390658838.32645,25896701373.694412,58.90086066033437,0.2188200271770645
0.csv_consecutive_missing_30%,0.3,consecutive,36125298991.09046,30478444951.815086,66.22995519486548,-0.04436604792860477,45481814972.37749,35537609838.36087,77.6485470146994,-0.6554094051548749,78864063569.55608,70497822655.23965,100.0,-3.977234993966319,32489221551.51249,26925705849.545025,62.293485771051785,0.1552884051780089
0.csv_consecutive_missing_40%,0.4,consecutive,36563458738.92151,30497209040.871124,65.62913153179603,-0.049239466680740085,43335408916.91999,35172257674.89148,74.16512378042057,-0.4738927185520281,79113366771.08784,70602950800.88968,100.0,-3.912242623171889,33994855775.10405,27883171422.687286,63.479195727685344,0.09300168258908748
0.csv_consecutive_missing_50%,0.5,consecutive,38026366609.00876,31643567758.1437,68.91901763680004,-0.05485773772200342,41757386723.39676,33103916816.379555,82.31430695384779,-0.27201096336905595,80208933399.91078,71152425933.60345,100.0,-3.6932070416739764,35493258823.911964,29409699459.97474,66.84236699985527,0.08099900147680184
1.csv_random_missing_10%,0.1,random,33252112024.625088,21618625434.608597,54.31997643175672,-0.01777843896065745,12719566172.262953,8137340482.719457,17.97126502697109,0.8510778235973622,61566743825.58895,52000723895.53997,100.0,-2.4890496248297516,16621435508.309391,9469987450.83615,21.90127243553595,0.7456967946884485
1.csv_random_missing_20%,0.2,random,32040748915.76865,21094521662.98172,52.56895792638853,-0.029012127351279116,12132288214.036242,8161165987.356483,17.915109838813972,0.852463113748327,61360916213.63416,52607003691.18925,100.0,-2.7739735073481637,15019505726.116821,9262754023.434828,21.649382991881794,0.7738865182599892
1.csv_random_missing_30%,0.3,random,34317838017.651394,21493948129.535767,52.99638222907455,-0.026450871161110667,12844947547.040619,8411524135.16272,18.501873793513376,0.8561986385076996,62680095815.24616,52739256860.60201,100.0,-2.424188236663068,17535334413.900295,9717124685.392014,22.6290707638318,0.7320051595100383
1.csv_random_missing_40%,0.4,random,34191815241.77616,21530467699.077038,51.9916547893918,-0.03256590147310123,12747595487.519539,8721808920.879545,19.505292486803626,0.8564741886472216,62774535251.431595,52994654897.04916,100.0,-2.4804906809337646,18549557922.068676,10397774917.043488,24.116813867400257,0.6960930788733042
1.csv_random_missing_50%,0.5,random,33239004888.97066,21281194885.16813,51.39086124640914,-0.03555180017624049,13642914064.187553,9330280751.570042,21.300479538861122,0.8255423217928461,62104933424.946365,52821601334.655266,100.0,-2.6151639894316436,18845125604.37938,11040876613.889992,25.78536876157938,0.6671305993600093
1.csv_consecutive_missing_10%,0.1,consecutive,22313398471.439278,18267506748.493782,50.50527024662367,-0.01079972242569216,27446682142.574898,21488086126.4842,59.65344186343561,-0.5293728543646028,54396092927.06239,49662528869.380104,100.0,-5.007158427822679,20602865360.69201,16900264987.699652,51.461201493318875,0.13823486288447107
1.csv_consecutive_missing_20%,0.2,consecutive,24209010050.137085,19806479402.79195,49.42715966769469,-0.03738696731218827,27786715738.917885,21246586828.355473,56.49449944079428,-0.3666621371798975,57063755696.181206,51877914109.1678,100.0,-4.763780449856275,22305805798.85413,18414718626.27723,50.69297158846261,0.11931102469484933
1.csv_consecutive_missing_30%,0.3,consecutive,24702236499.17744,20067583734.04673,50.02199619096006,-0.04357451330830986,29488704280.574276,23618583219.935673,60.93244964245047,-0.4871757455875161,57451977056.20684,52115334938.75434,100.0,-4.644960015423325,23908829045.635056,19537173174.13479,53.31307051195898,0.02238574234250268
1.csv_consecutive_missing_40%,0.4,consecutive,24487927354.13051,19885933761.509407,49.4894844809008,-0.04768055219379086,28634136750.54414,22418133899.04056,58.70197152249326,-0.43249467196121616,57259081399.05625,52021482371.33553,100.0,-4.72813940342232,24161740026.714046,19646623009.098167,53.8472569885792,-0.019955537459929618
1.csv_consecutive_missing_50%,0.5,consecutive,25704695814.90292,20775364631.898018,51.467058724863456,-0.056157922273828875,26368550101.612244,20765115833.05891,58.82269188122422,-0.11141543558461975,58191238483.29378,52541613905.49684,100.0,-4.41276439980889,25224372305.48559,20542906562.900326,55.38911942684316,-0.017055514831035623
2.csv_random_missing_10%,0.1,random,43927305468.96235,29859536791.006035,42.22232346529387,-0.02076909296222329,28280279679.845184,20364303776.90548,26.387018371666095,0.5769167967084876,97160029888.00677,86889148011.9457,100.0,-3.993828954214057,28259838777.785492,20131213789.085945,27.82573859458314,0.577528182237343
2.csv_random_missing_20%,0.2,random,43454639230.83828,30081435385.50287,44.12807123536128,-0.01652725874669536,29366441370.99778,20554877284.16056,26.56444695926195,0.5357527120636304,96548839349.57318,86394871492.87814,100.0,-4.018117732422729,29565352826.189304,20673308786.464603,28.72559179948179,0.5294423222225875
2.csv_random_missing_30%,0.3,random,44926223977.21604,30179047541.953434,43.46100672565891,-0.019754169307189873,28833196243.494354,20176292083.15614,26.143877177809316,0.5799691110291272,97857288235.93828,87159520604.92847,100.0,-3.838179835836618,30040175390.19693,20811752483.62924,28.996405291287402,0.5440674676409847
2.csv_random_missing_40%,0.4,random,44556623577.39481,30439041710.10675,43.44891864354606,-0.024308232259768525,29160413559.960068,20589784519.558796,26.88028165749834,0.5612738971595682,97981848516.55025,87534356908.47066,100.0,-3.953331267125506,30023617270.487972,21150853820.25639,29.496993585122606,0.5349151991062824
2.csv_random_missing_50%,0.5,random,45045989081.55461,30547189709.687717,42.79164726999178,-0.02888066771382336,29852672341.68629,21067636112.38508,27.228083680284186,0.5481240984819871,98565325142.48163,87993977946.13977,100.0,-3.9260755743266724,31524173809.129105,21898990860.96361,30.0712300151515,0.4961048488531612
2.csv_consecutive_missing_10%,0.1,consecutive,31569674662.91519,24952899327.763767,40.52603796653314,-0.0011415426542298324,39649812938.77864,31004279989.78158,47.04905681245903,-0.5792015285045331,85805792338.4781,79794273323.91652,100.0,-6.395856604254639,31520591769.827763,25220757555.365314,43.34613616333293,0.001969083255149995
2.csv_consecutive_missing_20%,0.2,consecutive,33743471378.72702,26178769801.60863,40.12654998672415,-0.007026512378021543,48272368545.2473,38780126246.07154,55.87697412917089,-1.0609079947070237,89915156881.09538,83390996475.70514,100.0,-6.150348339228877,32701840456.70508,25991063275.236603,42.1699148417065,0.05418591401116424
2.csv_consecutive_missing_30%,0.3,consecutive,34567230302.899826,27337510423.94793,42.85432215386012,-0.004316318145454412,42454714432.64826,33972296643.1073,49.28674848988585,-0.5149322148652391,89823323885.34763,82936550912.13084,100.0,-5.781403668253626,34732815753.35748,28084640729.698753,46.386287703685184,-0.013961203063099337
2.csv_consecutive_missing_40%,0.4,consecutive,39970559550.5819,29930853435.152264,43.45892272295155,-0.02202410635781149,51508972424.77647,38907088433.307686,57.79841071391105,-0.6972524943309935,94864064071.92752,86232090793.73767,100.0,-4.7568396940275015,38500596827.75875,30067257117.258736,46.6301614323597,0.05176581671713243
2.csv_consecutive_missing_50%,0.5,consecutive,41249495501.18792,30722573147.330383,44.847056816450134,-0.021769469020694432,55695623261.46739,45629980497.44627,69.75478889407927,-0.8627637401681556,95688096956.75443,86550234193.59882,100.0,-4.498338507269176,41634496173.783966,31794793720.323456,48.43050922118375,-0.040931775663322956
3.csv_random_missing_10%,0.1,random,15851889197.366419,12013114525.36727,82.72571621091862,-0.05186114791457874,5072607972.772622,3605602163.954248,19.37975284901326,0.8922892728060844,28122936953.98206,23494817794.76169,100.0,-2.310683806559122,5396804541.56434,3936652184.532727,23.674973955558883,0.8780814646509008
3.csv_random_missing_20%,0.2,random,16069743036.76884,12340768664.19104,82.10651203807502,-0.06312785958915623,5449107579.4296665,3965657865.5067387,21.3634238086129,0.8777585764436822,28475647200.114323,23831906565.615055,100.0,-2.338219132016146,5707694183.364523,4217641599.6822405,25.789359800327677,0.8658813954768041
3.csv_random_missing_30%,0.3,random,15893112603.012274,12194868874.31109,82.79237252648328,-0.06260772255583369,5566425576.679874,4003916704.0181684,22.180849931493785,0.8696509528325004,28268485940.92479,23693852900.474316,100.0,-2.3617092078463067,5820609055.66096,4236856478.4936585,26.127733589876218,0.8574747182032528
3.csv_random_missing_40%,0.4,random,16198308313.242863,12353713403.762655,81.59187756650596,-0.07270967085844071,5925945013.958698,4202582345.799248,24.482691932585425,0.8564318484282097,28538376397.867878,23871291298.868305,100.0,-2.329671565732715,6396657582.540884,4595263497.188441,28.681012580720168,0.8327180506820662
3.csv_random_missing_50%,0.5,random,16164418257.596098,12329885943.344444,82.08182826934627,-0.06888913877602576,6731446239.149023,4641327315.209131,27.79026123849161,0.8146343456244121,28476726782.86303,23800743725.210526,100.0,-2.3173602947753307,6863311574.416008,4920307209.410799,31.038051685664293,0.8073007894354203
3.csv_consecutive_missing_10%,0.1,consecutive,14964185020.759232,11477438784.31705,65.50782776186121,-0.09484278081163788,17947599514.13023,13981863756.767282,95.75398494535291,-0.5749195011116188,28109220557.29943,24199163685.88455,100.0,-2.863164725542358,12279632531.609196,9971479322.722584,66.33617613881368,0.26274731659155104
3.csv_consecutive_missing_20%,0.2,consecutive,16298041215.666126,12651743079.832687,67.73326495822437,-0.15469532819506004,18466795245.578384,13830574641.59234,90.18759966816673,-0.4824486296893271,29576367784.80646,25391366677.481087,100.0,-2.8026491862925957,13370901563.081312,10856552924.272778,65.27290257105884,0.2228265275099256
