dataset,missing_rate,pattern,median_rmse,median_mae,median_mape,median_r2,interpolation_rmse,interpolation_mae,interpolation_mape,interpolation_r2,knn_rmse,knn_mae,knn_mape,knn_r2,hybrid_svd_rmse,hybrid_svd_mae,hybrid_svd_mape,hybrid_svd_r2
0.csv_random_missing_10%,0.1,random,37270986.23527022,31387844.895173453,73.49693898904876,-0.011558072798012686,9070512.300920418,6293113.266716943,11.049215486546238,0.9400881563965579,78510643.79697295,69214644.02111614,99.99999999999997,-3.4885506258761962,9294725.09246461,6828142.993228114,12.698281994920595,0.9370896430724626
0.csv_random_missing_20%,0.2,random,37195577.68764992,31139794.01362007,71.9729071754331,-0.018127605010796355,9824875.48993808,6986438.944587815,12.390891329381084,0.9289647837152425,79197695.22558425,70095628.4623656,99.99999999999999,-3.6157755548760875,9732445.001411565,7171825.898681323,13.650209246189466,0.9302950671946961
0.csv_random_missing_30%,0.3,random,37080691.118692964,30941378.499279886,71.06026935946535,-0.023698704741906385,10456243.826333322,7543598.1143542975,13.362251659509747,0.9185993416277606,79234677.36334796,70249464.64426309,99.99999999999997,-3.674197958939355,10182144.306562252,7568678.661846282,14.241602227560673,0.9228110720334197
0.csv_random_missing_40%,0.4,random,37594290.10959307,31219538.230374176,70.36750101405067,-0.032202929491862875,11494548.215124218,8305669.167644028,15.576071857335691,0.903504930566275,79597414.6439808,70473478.82831988,99.99999999999997,-3.6272102589276916,10956490.070162874,8144106.099564467,15.511035747793114,0.9123273347586588
0.csv_random_missing_50%,0.5,random,37480484.22775785,31041478.87017544,69.23647421412285,-0.03434372756525028,13868765.939988822,9711223.29059779,18.646580565411313,0.8583781913639569,79421560.39128762,70353686.82865497,99.99999999999997,-3.644418322379215,12409523.219456056,9226513.27132691,17.654544225890174,0.8866126276744385
0.csv_consecutive_missing_10%,0.1,consecutive,34451286.19000269,29196127.80106572,66.76834216319867,-0.010482436250696336,45145323.26032435,34519328.797457084,78.59114951974627,-0.7351755631759331,76721666.35419603,68641353.52753109,100.0,-4.011340847653078,27328768.352386154,22256895.21513757,54.98293328022712,0.36414512186867776
0.csv_consecutive_missing_20%,0.2,consecutive,36978502.69402355,31317828.023763336,65.28878971248388,-0.04132074205661107,40786544.00305096,31598137.333903488,70.06410237820232,-0.26683393972838676,80550154.2669354,71938710.00193986,100.0,-3.9410429395123687,31767286.6285232,26379936.28987175,58.564852356980055,0.2314960249032918
0.csv_consecutive_missing_30%,0.3,consecutive,36763947.230880976,31303215.62883845,66.56540686402316,-0.040474497575062385,45353735.83944933,35309262.829538375,75.15094965840271,-0.5834826317796586,79975983.75309019,71394306.34712951,99.99999999999997,-3.923867453566979,32955702.00922844,27488200.840743385,61.580223323540906,0.16391909215068456
0.csv_consecutive_missing_40%,0.4,consecutive,37138686.79087602,31288479.414336555,66.25785140344549,-0.04325302656564478,42827159.238224864,34727645.72727726,70.38609585735107,-0.387315068288433,80115881.93228109,71389475.36451449,99.99999999999997,-3.8548274922596137,34392505.43893897,28446353.659058057,62.99136493555654,0.1053272780021014
0.csv_consecutive_missing_50%,0.5,consecutive,38613089.712840304,32456503.199325748,69.91425236564939,-0.04814296610238755,41904355.69416374,33257736.655394018,82.00505439109487,-0.23443933257334226,81201870.64490771,71911444.75179099,99.99999999999997,-3.6353601673135776,35854295.27132066,29955473.250314537,66.69367970538859,0.09628020005100335
1.csv_random_missing_10%,0.1,random,29162718.500259586,20563585.239819005,51.54215224783527,-0.017250946781694143,10284181.254987368,6765565.952237306,14.83397659110536,0.8734938800118417,58920745.62059339,51338217.9668175,99.99999999999997,-3.152489656497135,12472563.684397174,7729750.727954551,17.879030920885256,0.8139269178358619
1.csv_random_missing_20%,0.2,random,28536460.261427086,20325640.87311828,50.33766802710178,-0.029996670251038138,10067609.67176506,6888229.176583034,15.020809178669253,0.8717999019949383,59187685.03106022,52082322.10681003,99.99999999999997,-3.430965072124791,11758628.550913077,7791978.381610217,18.04677254707204,0.8251164496253799
1.csv_random_missing_30%,0.3,random,29889514.486020245,20611639.341334615,50.66333615440596,-0.028429583659136393,10647914.276850758,7170095.014546327,15.695538418427974,0.8694833458138201,59930344.25717622,52181984.315410465,99.99999999999996,-3.134570338529908,13160110.78845689,8148068.887153814,18.87683261361985,0.800631780351744
1.csv_random_missing_40%,0.4,random,29934616.53401095,20657631.088407923,49.640849721600105,-0.03634402136864745,10884387.693065692,7467171.689465638,16.670386837487182,0.8629861237132652,60103034.171985365,52418684.95561262,99.99999999999997,-3.1778163189895627,13968419.008707726,8685037.063915564,20.123264005248874,0.7743418330111631
1.csv_random_missing_50%,0.5,random,29225251.916842338,20410034.54005848,48.90540394906761,-0.039991285294836754,11741641.628157482,8086874.858615057,18.403971130343493,0.8321308794498631,59594476.797580145,52251603.072807014,99.99999999999997,-3.3243934004882902,14468032.917135308,9297337.76472309,21.580964770829596,0.7451221179253629
1.csv_consecutive_missing_10%,0.1,consecutive,21774220.88349634,17863238.31616341,47.328150384290105,-0.01605890988947123,26797645.959749423,21245201.599504244,56.93523799224732,-0.5389585766979503,54413570.410821624,49942100.579040855,99.99999999999996,-5.345240496545066,19541386.652815245,16089481.448101783,46.70778620769487,0.18163999562318422
1.csv_consecutive_missing_20%,0.2,consecutive,23614575.190258104,19448463.797769155,47.08622067752848,-0.045562193339015566,27459315.581760004,21004368.024516616,54.625579774980416,-0.4137382653990449,56807028.16132514,51900778.19107662,99.99999999999997,-5.050534425964695,21373751.668630827,17785974.15571162,47.15595172990413,0.1434531645158017
1.csv_consecutive_missing_30%,0.3,consecutive,24194218.58313245,19770180.37716956,47.257530112604236,-0.056614155225877205,29150576.278487146,23482726.047334902,59.51712225158886,-0.5338663292459995,57233317.67633127,52169497.46261682,99.99999999999997,-4.912771117664334,22992870.979605783,18923059.300423127,49.27533148248604,0.04571163386915944
1.csv_consecutive_missing_40%,0.4,consecutive,23952175.93012836,19569152.61667514,46.90061632521508,-0.058002951784132284,27994572.673618518,22016147.382132765,55.61795146044165,-0.44525545943781286,56996054.560443886,52022070.87544484,99.99999999999997,-4.99082344288018,23342911.07974212,19119735.22471145,49.92083997213739,-0.004863253299399739
