file,rate,method,rmse,nrmse,nrmse_mean,mae,mape,r2
1,10,Temporal_Matrix+SVD+KNN,6481513.917983694,0.07236786941797006,0.4487139477445347,3233964.977851095,24.388362194392617,0.49884427735270387
1,20,Temporal_Matrix+SVD+KNN,6074411.592707333,0.06386989056101018,0.41568384814527815,3148722.9670887874,24.737531506344244,0.5206766248434247
1,30,Temporal_Matrix+SVD+KNN,7007775.250462463,0.03987106960213416,0.47835317377236347,3358114.4686681437,26.327073929566367,0.4452929838836579
1,40,Temporal_Matrix+SVD+KNN,7129015.189074554,0.040560869982168055,0.4842838344834176,3541914.791332058,27.28257979387661,0.4182484559841234
