timestamp,Data,Intervalo,Vazao,Hora_inicio
2023-04-28 00:00:00,2023-04-28,00:00:00 a 05:59:59,904398815.5,00:00:00
2023-04-28 06:00:00,2023-04-28,06:00:00 a 11:59:59,886664486.6597538,06:00:00
2023-04-28 12:00:00,2023-04-28,12:00:00 a 17:59:59,887758513.9146563,12:00:00
2023-04-28 18:00:00,2023-04-28,18:00:00 a 23:59:59,913310854.5,18:00:00
2023-04-29 00:00:00,2023-04-29,00:00:00 a 05:59:59,899164039.2502308,00:00:00
2023-04-29 06:00:00,2023-04-29,06:00:00 a 11:59:59,890767363.5,06:00:00
2023-04-29 12:00:00,2023-04-29,12:00:00 a 17:59:59,892776422.3805612,12:00:00
2023-04-29 18:00:00,2023-04-29,18:00:00 a 23:59:59,905971204.0,18:00:00
2023-04-30 00:00:00,2023-04-30,00:00:00 a 05:59:59,912787963.0,00:00:00
2023-04-30 06:00:00,2023-04-30,06:00:00 a 11:59:59,877134889.5,06:00:00
2023-04-30 12:00:00,2023-04-30,12:00:00 a 17:59:59,916456707.0,12:00:00
2023-04-30 18:00:00,2023-04-30,18:00:00 a 23:59:59,868222143.0,18:00:00
2023-05-01 00:00:00,2023-05-01,00:00:00 a 05:59:59,894699555.0,00:00:00
2023-05-01 06:00:00,2023-05-01,06:00:00 a 11:59:59,881679217.0,06:00:00
2023-05-01 12:00:00,2023-05-01,12:00:00 a 17:59:59,880698035.0708771,12:00:00
2023-05-01 18:00:00,2023-05-01,18:00:00 a 23:59:59,886182561.3546408,18:00:00
2023-05-02 00:00:00,2023-05-02,00:00:00 a 05:59:59,913836040.0,00:00:00
2023-05-02 06:00:00,2023-05-02,06:00:00 a 11:59:59,879232116.5,06:00:00
2023-05-02 12:00:00,2023-05-02,12:00:00 a 17:59:59,893212130.2058202,12:00:00
2023-05-02 18:00:00,2023-05-02,18:00:00 a 23:59:59,875299809.5,18:00:00
2023-05-03 00:00:00,2023-05-03,00:00:00 a 05:59:59,830998349.0,00:00:00
2023-05-03 06:00:00,2023-05-03,06:00:00 a 11:59:59,893125875.0,06:00:00
2023-05-03 12:00:00,2023-05-03,12:00:00 a 17:59:59,890245786.0,12:00:00
2023-05-03 18:00:00,2023-05-03,18:00:00 a 23:59:59,910428275.0,18:00:00
2023-05-04 00:00:00,2023-05-04,00:00:00 a 05:59:59,894962317.5,00:00:00
2023-05-04 06:00:00,2023-05-04,06:00:00 a 11:59:59,878008058.67,06:00:00
2023-05-04 12:00:00,2023-05-04,12:00:00 a 17:59:59,888022334.0929005,12:00:00
2023-05-04 18:00:00,2023-05-04,18:00:00 a 23:59:59,843579265.0,18:00:00
2023-05-05 00:00:00,2023-05-05,00:00:00 a 05:59:59,880019095.5,00:00:00
2023-05-05 06:00:00,2023-05-05,06:00:00 a 11:59:59,908592755.0,06:00:00
2023-05-05 12:00:00,2023-05-05,12:00:00 a 17:59:59,892155339.5524741,12:00:00
2023-05-05 18:00:00,2023-05-05,18:00:00 a 23:59:59,860096908.0,18:00:00
2023-05-06 00:00:00,2023-05-06,00:00:00 a 05:59:59,861406346.0,00:00:00
2023-05-06 06:00:00,2023-05-06,06:00:00 a 11:59:59,880284194.0,06:00:00
2023-05-06 12:00:00,2023-05-06,12:00:00 a 17:59:59,921175213.0,12:00:00
2023-05-06 18:00:00,2023-05-06,18:00:00 a 23:59:59,880279684.0,18:00:00
2023-05-07 00:00:00,2023-05-07,00:00:00 a 05:59:59,894961534.5,00:00:00
2023-05-07 06:00:00,2023-05-07,06:00:00 a 11:59:59,880105794.67,06:00:00
2023-05-07 12:00:00,2023-05-07,12:00:00 a 17:59:59,891706486.8211019,12:00:00
2023-05-07 18:00:00,2023-05-07,18:00:00 a 23:59:59,874512515.0,18:00:00
2023-05-08 00:00:00,2023-05-08,00:00:00 a 05:59:59,897579978.0,00:00:00
2023-05-08 06:00:00,2023-05-08,06:00:00 a 11:59:59,902298540.0,06:00:00
2023-05-08 12:00:00,2023-05-08,12:00:00 a 17:59:59,863242309.0,12:00:00
2023-05-08 18:00:00,2023-05-08,18:00:00 a 23:59:59,914362660.0,18:00:00
2023-05-09 00:00:00,2023-05-09,00:00:00 a 05:59:59,901775946.0,00:00:00
2023-05-09 06:00:00,2023-05-09,06:00:00 a 11:59:59,877832590.0,06:00:00
2023-05-09 12:00:00,2023-05-09,12:00:00 a 17:59:59,873988707.0,12:00:00
2023-05-09 18:00:00,2023-05-09,18:00:00 a 23:59:59,861929520.0,18:00:00
2023-05-10 00:00:00,2023-05-10,00:00:00 a 05:59:59,875824604.0,00:00:00
2023-05-10 06:00:00,2023-05-10,06:00:00 a 11:59:59,882640554.7489127,06:00:00
2023-05-10 12:00:00,2023-05-10,12:00:00 a 17:59:59,892516378.0832542,12:00:00
2023-05-10 18:00:00,2023-05-10,18:00:00 a 23:59:59,880517469.5,18:00:00
2023-05-11 00:00:00,2023-05-11,00:00:00 a 05:59:59,843579223.0,00:00:00
2023-05-11 06:00:00,2023-05-11,06:00:00 a 11:59:59,917504871.0,06:00:00
2023-05-11 12:00:00,2023-05-11,12:00:00 a 17:59:59,889822616.0,12:00:00
2023-05-11 18:00:00,2023-05-11,18:00:00 a 23:59:59,879336588.0,18:00:00
2023-05-12 00:00:00,2023-05-12,00:00:00 a 05:59:59,891604083.0,00:00:00
2023-05-12 06:00:00,2023-05-12,06:00:00 a 11:59:59,882220961.0,06:00:00
2023-05-12 12:00:00,2023-05-12,12:00:00 a 17:59:59,918186997.0,12:00:00
2023-05-12 18:00:00,2023-05-12,18:00:00 a 23:59:59,881120337.33,18:00:00
2023-05-13 00:00:00,2023-05-13,00:00:00 a 05:59:59,817262953.0,00:00:00
2023-05-13 06:00:00,2023-05-13,06:00:00 a 11:59:59,911947527.0,06:00:00
2023-05-13 12:00:00,2023-05-13,12:00:00 a 17:59:59,896795928.0,12:00:00
2023-05-13 18:00:00,2023-05-13,18:00:00 a 23:59:59,872914985.5,18:00:00
2023-05-14 00:00:00,2023-05-14,00:00:00 a 05:59:59,889375772.0,00:00:00
2023-05-14 06:00:00,2023-05-14,06:00:00 a 11:59:59,889377199.0,06:00:00
2023-05-14 12:00:00,2023-05-14,12:00:00 a 17:59:59,815531248.0,12:00:00
2023-05-14 18:00:00,2023-05-14,18:00:00 a 23:59:59,879049745.5,18:00:00
2023-05-15 00:00:00,2023-05-15,00:00:00 a 05:59:59,860777759.0,00:00:00
2023-05-15 06:00:00,2023-05-15,06:00:00 a 11:59:59,903769281.0,06:00:00
2023-05-15 12:00:00,2023-05-15,12:00:00 a 17:59:59,875010292.0,12:00:00
2023-05-15 18:00:00,2023-05-15,18:00:00 a 23:59:59,896008795.5,18:00:00
2023-05-16 00:00:00,2023-05-16,00:00:00 a 05:59:59,868065051.0,00:00:00
2023-05-16 06:00:00,2023-05-16,06:00:00 a 11:59:59,876716721.5,06:00:00
2023-05-16 12:00:00,2023-05-16,12:00:00 a 17:59:59,870685965.0,12:00:00
2023-05-16 18:00:00,2023-05-16,18:00:00 a 23:59:59,886257628.0,18:00:00
2023-05-17 00:00:00,2023-05-17,00:00:00 a 05:59:59,918396345.0,00:00:00
2023-05-17 06:00:00,2023-05-17,06:00:00 a 11:59:59,870136489.0,06:00:00
2023-05-17 12:00:00,2023-05-17,12:00:00 a 17:59:59,888374414.41208,12:00:00
2023-05-17 18:00:00,2023-05-17,18:00:00 a 23:59:59,904267192.0,18:00:00
2023-05-18 00:00:00,2023-05-18,00:00:00 a 05:59:59,888197633.0,00:00:00
2023-05-18 06:00:00,2023-05-18,06:00:00 a 11:59:59,891104986.383556,06:00:00
2023-05-18 12:00:00,2023-05-18,12:00:00 a 17:59:59,890032742.0,12:00:00
2023-05-18 18:00:00,2023-05-18,18:00:00 a 23:59:59,915748825.0,18:00:00
2023-05-19 00:00:00,2023-05-19,00:00:00 a 05:59:59,878787894.3350468,00:00:00
2023-05-19 06:00:00,2023-05-19,06:00:00 a 11:59:59,893781286.5,06:00:00
2023-05-19 12:00:00,2023-05-19,12:00:00 a 17:59:59,881854311.0,12:00:00
2023-05-19 18:00:00,2023-05-19,18:00:00 a 23:59:59,877309273.0,18:00:00
2023-05-20 00:00:00,2023-05-20,00:00:00 a 05:59:59,849347494.0,00:00:00
2023-05-20 06:00:00,2023-05-20,06:00:00 a 11:59:59,893126304.0,06:00:00
2023-05-20 12:00:00,2023-05-20,12:00:00 a 17:59:59,877790101.0,12:00:00
2023-05-20 18:00:00,2023-05-20,18:00:00 a 23:59:59,880437685.5,18:00:00
2023-05-21 00:00:00,2023-05-21,00:00:00 a 05:59:59,880281162.0,00:00:00
2023-05-21 06:00:00,2023-05-21,06:00:00 a 11:59:59,859282477.0,06:00:00
2023-05-21 12:00:00,2023-05-21,12:00:00 a 17:59:59,879472547.3072331,12:00:00
2023-05-21 18:00:00,2023-05-21,18:00:00 a 23:59:59,900099394.5,18:00:00
2023-05-22 00:00:00,2023-05-22,00:00:00 a 05:59:59,881854465.0,00:00:00
2023-05-22 06:00:00,2023-05-22,06:00:00 a 11:59:59,907255333.5,06:00:00
2023-05-22 12:00:00,2023-05-22,12:00:00 a 17:59:59,927360428.0,12:00:00
2023-05-22 18:00:00,2023-05-22,18:00:00 a 23:59:59,871604590.0,18:00:00
2023-05-23 00:00:00,2023-05-23,00:00:00 a 05:59:59,870451601.0,00:00:00
2023-05-23 06:00:00,2023-05-23,06:00:00 a 11:59:59,916849966.5,06:00:00
2023-05-23 12:00:00,2023-05-23,12:00:00 a 17:59:59,888779725.9845324,12:00:00
2023-05-23 18:00:00,2023-05-23,18:00:00 a 23:59:59,881747514.0,18:00:00
2023-05-24 00:00:00,2023-05-24,00:00:00 a 05:59:59,895589816.5,00:00:00
2023-05-24 06:00:00,2023-05-24,06:00:00 a 11:59:59,919234334.0,06:00:00
2023-05-24 12:00:00,2023-05-24,12:00:00 a 17:59:59,885943058.0,12:00:00
2023-05-24 18:00:00,2023-05-24,18:00:00 a 23:59:59,889837360.919213,18:00:00
2023-06-01 00:00:00,2023-06-01,00:00:00 a 05:59:59,891603376.2218094,00:00:00
2023-06-01 06:00:00,2023-06-01,06:00:00 a 11:59:59,889230853.4165213,06:00:00
2023-06-01 12:00:00,2023-06-01,12:00:00 a 17:59:59,860620011.5,12:00:00
2023-06-01 18:00:00,2023-06-01,18:00:00 a 23:59:59,880017050.5,18:00:00
2023-06-02 00:00:00,2023-06-02,00:00:00 a 05:59:59,901774368.0,00:00:00
2023-06-02 06:00:00,2023-06-02,06:00:00 a 11:59:59,912525451.5,06:00:00
2023-06-02 12:00:00,2023-06-02,12:00:00 a 17:59:59,889717314.0,12:00:00
2023-06-02 18:00:00,2023-06-02,18:00:00 a 23:59:59,871363431.0,18:00:00
2023-06-03 00:00:00,2023-06-03,00:00:00 a 05:59:59,874513662.0,00:00:00
2023-06-03 06:00:00,2023-06-03,06:00:00 a 11:59:59,903873912.0,06:00:00
2023-06-03 12:00:00,2023-06-03,12:00:00 a 17:59:59,888143963.5,12:00:00
2023-06-03 18:00:00,2023-06-03,18:00:00 a 23:59:59,880284833.0,18:00:00
2023-06-04 00:00:00,2023-06-04,00:00:00 a 05:59:59,905181776.0,00:00:00
2023-06-04 06:00:00,2023-06-04,06:00:00 a 11:59:59,897583876.5,06:00:00
2023-06-04 12:00:00,2023-06-04,12:00:00 a 17:59:59,872153223.0,12:00:00
2023-06-04 18:00:00,2023-06-04,18:00:00 a 23:59:59,896536701.5,18:00:00
2023-06-05 00:00:00,2023-06-05,00:00:00 a 05:59:59,921701483.0,00:00:00
2023-06-05 06:00:00,2023-06-05,06:00:00 a 11:59:59,882378292.0,06:00:00
