Data,Intervalo,Vazao
27-4-2023,00:00:00 a 05:59:59,-1
 27-4-2023,06:00:00 a 11:59:59,-1
 27-4-2023,12:00:00 a 17:59:59,-1
 27-4-2023,18:00:00 a 23:59:59,885524468.0
 28-4-2023,00:00:00 a 05:59:59,835191924.5
 28-4-2023,06:00:00 a 11:59:59,827589017.0
 28-4-2023,12:00:00 a 17:59:59,894702583.0
 28-4-2023,18:00:00 a 23:59:59,889455880.0
 29-4-2023,00:00:00 a 05:59:59,885785841.0
 29-4-2023,06:00:00 a 11:59:59,898895462.5
 29-4-2023,12:00:00 a 17:59:59,881331518.5
 29-4-2023,18:00:00 a 23:59:59,895135995.0
 30-4-2023,00:00:00 a 05:59:59,926942435.0
 30-4-2023,06:00:00 a 11:59:59,920386770.5
 30-4-2023,12:00:00 a 17:59:59,896009959.5
 30-4-2023,18:00:00 a 23:59:59,894961361.0
 1-5-2023,00:00:00 a 05:59:59,899154428.0
 1-5-2023,06:00:00 a 11:59:59,822863591.5
 1-5-2023,12:00:00 a 17:59:59,913048292.0
 1-5-2023,18:00:00 a 23:59:59,910952146.0
 2-5-2023,00:00:00 a 05:59:59,869271983.5
 2-5-2023,06:00:00 a 11:59:59,854062376.0
 2-5-2023,12:00:00 a 17:59:59,892338734.0
 2-5-2023,18:00:00 a 23:59:59,919602936.5
 3-5-2023,00:00:00 a 05:59:59,898365854.0
 3-5-2023,06:00:00 a 11:59:59,830209627.0
 3-5-2023,12:00:00 a 17:59:59,867173787.0
 3-5-2023,18:00:00 a 23:59:59,906231319.5
 4-5-2023,00:00:00 a 05:59:59,889718095.5
 4-5-2023,06:00:00 a 11:59:59,803210647.0
 4-5-2023,12:00:00 a 17:59:59,874250987.0
 4-5-2023,18:00:00 a 23:59:59,736623339.5
 5-5-2023,00:00:00 a 05:59:59,868746499.5
 5-5-2023,06:00:00 a 11:59:59,790365078.0
 5-5-2023,12:00:00 a 17:59:59,901645664.5
 5-5-2023,18:00:00 a 23:59:59,824707374.0
 6-5-2023,00:00:00 a 05:59:59,860358118.5
 6-5-2023,06:00:00 a 11:59:59,847777165.0
 6-5-2023,12:00:00 a 17:59:59,900377234.0
 6-5-2023,18:00:00 a 23:59:59,871628865.5
 7-5-2023,00:00:00 a 05:59:59,905709385.0
 7-5-2023,06:00:00 a 11:59:59,884999502.0
 7-5-2023,12:00:00 a 17:59:59,873728336.0
 7-5-2023,18:00:00 a 23:59:59,891291244.5
 8-5-2023,00:00:00 a 05:59:59,817103362.5
 8-5-2023,06:00:00 a 11:59:59,898894218.5
 8-5-2023,12:00:00 a 17:59:59,861931195.0
 8-5-2023,18:00:00 a 23:59:59,909116187.0
 9-5-2023,00:00:00 a 05:59:59,869531757.0
 9-5-2023,06:00:00 a 11:59:59,764938516.5
 9-5-2023,12:00:00 a 17:59:59,726925184.0
 9-5-2023,18:00:00 a 23:59:59,846464355.5
 10-5-2023,00:00:00 a 05:59:59,911738122.5
 10-5-2023,06:00:00 a 11:59:59,779792975.67
 10-5-2023,12:00:00 a 17:59:59,898761974.0
 10-5-2023,18:00:00 a 23:59:59,836870048.0
 11-5-2023,00:00:00 a 05:59:59,920337317.0
 11-5-2023,06:00:00 a 11:59:59,872601587.5
 11-5-2023,12:00:00 a 17:59:59,806722457.5
 11-5-2023,18:00:00 a 23:59:59,711145274.0
 12-5-2023,00:00:00 a 05:59:59,840504835.33
 12-5-2023,06:00:00 a 11:59:59,894331722.0
 12-5-2023,12:00:00 a 17:59:59,893544797.0
 12-5-2023,18:00:00 a 23:59:59,891840782.5
 13-5-2023,00:00:00 a 05:59:59,869453603.5
 13-5-2023,06:00:00 a 11:59:59,831024386.0
 13-5-2023,12:00:00 a 17:59:59,863188928.0
 13-5-2023,18:00:00 a 23:59:59,789630715.5
 14-5-2023,00:00:00 a 05:59:59,784833338.5
 14-5-2023,06:00:00 a 11:59:59,886678074.5
 14-5-2023,12:00:00 a 17:59:59,754241638.0
 14-5-2023,18:00:00 a 23:59:59,921253947.0
 15-5-2023,00:00:00 a 05:59:59,818703023.5
 15-5-2023,06:00:00 a 11:59:59,886414684.0
 15-5-2023,12:00:00 a 17:59:59,883635762.5
 15-5-2023,18:00:00 a 23:59:59,891921317.67
 16-5-2023,00:00:00 a 05:59:59,889900904.0
 16-5-2023,06:00:00 a 11:59:59,778149938.0
 16-5-2023,12:00:00 a 17:59:59,884841449.5
 16-5-2023,18:00:00 a 23:59:59,870949400.0
 17-5-2023,00:00:00 a 05:59:59,900387588.0
 17-5-2023,06:00:00 a 11:59:59,816999627.5
 17-5-2023,12:00:00 a 17:59:59,886205250.0
 17-5-2023,18:00:00 a 23:59:59,884919537.5
 18-5-2023,00:00:00 a 05:59:59,890871400.5
 18-5-2023,06:00:00 a 11:59:59,786852352.5
 18-5-2023,12:00:00 a 17:59:59,896796568.5
 18-5-2023,18:00:00 a 23:59:59,874356684.0
 19-5-2023,00:00:00 a 05:59:59,892523413.0
 19-5-2023,06:00:00 a 11:59:59,739825162.5
 19-5-2023,12:00:00 a 17:59:59,845863089.5
 19-5-2023,18:00:00 a 23:59:59,879214820.33
 20-5-2023,00:00:00 a 05:59:59,622750376.0
 20-5-2023,06:00:00 a 11:59:59,894593793.0
 20-5-2023,12:00:00 a 17:59:59,892707007.0
 20-5-2023,18:00:00 a 23:59:59,863556568.0
 21-5-2023,00:00:00 a 05:59:59,908565461.0
 21-5-2023,06:00:00 a 11:59:59,891098465.67
 21-5-2023,12:00:00 a 17:59:59,905891730.5
 21-5-2023,18:00:00 a 23:59:59,858104829.0
 22-5-2023,00:00:00 a 05:59:59,783899291.67
 22-5-2023,06:00:00 a 11:59:59,926625869.0
 22-5-2023,12:00:00 a 17:59:59,883847494.0
 22-5-2023,18:00:00 a 23:59:59,790154918.0
 23-5-2023,00:00:00 a 05:59:59,898132053.5
 23-5-2023,06:00:00 a 11:59:59,824418685.5
 23-5-2023,12:00:00 a 17:59:59,913152884.5
 23-5-2023,18:00:00 a 23:59:59,905368410.5
 24-5-2023,00:00:00 a 05:59:59,875614657.0
 24-5-2023,06:00:00 a 11:59:59,776209303.5
 24-5-2023,12:00:00 a 17:59:59,904163080.5
 24-5-2023,18:00:00 a 23:59:59,886100614.0
 1-6-2023,00:00:00 a 05:59:59,-1
 1-6-2023,06:00:00 a 11:59:59,-1
 1-6-2023,12:00:00 a 17:59:59,823135699.0
 1-6-2023,18:00:00 a 23:59:59,900468260.0
 2-6-2023,00:00:00 a 05:59:59,755761758.5
 2-6-2023,06:00:00 a 11:59:59,710410260.0
 2-6-2023,12:00:00 a 17:59:59,840434588.0
 2-6-2023,18:00:00 a 23:59:59,797445277.0
 3-6-2023,00:00:00 a 05:59:59,888405636.5
 3-6-2023,06:00:00 a 11:59:59,844366831.5
 3-6-2023,12:00:00 a 17:59:59,850920062.0
 3-6-2023,18:00:00 a 23:59:59,809370655.5
 4-6-2023,00:00:00 a 05:59:59,-1
 4-6-2023,06:00:00 a 11:59:59,862280135.67
 4-6-2023,12:00:00 a 17:59:59,870494811.67
 4-6-2023,18:00:00 a 23:59:59,787743960.5
 5-6-2023,00:00:00 a 05:59:59,819987210.0
 5-6-2023,06:00:00 a 11:59:59,877659448.0
 5-6-2023,12:00:00 a 17:59:59,905450599.0
 5-6-2023,18:00:00 a 23:59:59,880019343.5
 6-6-2023,00:00:00 a 05:59:59,789579201.5
 6-6-2023,06:00:00 a 11:59:59,744491622.0
 6-6-2023,12:00:00 a 17:59:59,735577854.0
 6-6-2023,18:00:00 a 23:59:59,840173386.5
 7-6-2023,00:00:00 a 05:59:59,881591001.0
 7-6-2023,06:00:00 a 11:59:59,889981073.0
 7-6-2023,12:00:00 a 17:59:59,826542099.5
 7-6-2023,18:00:00 a 23:59:59,811601790.5
 8-6-2023,00:00:00 a 05:59:59,900465699.0
 8-6-2023,06:00:00 a 11:59:59,897845271.5
 8-6-2023,12:00:00 a 17:59:59,853541192.0
 8-6-2023,18:00:00 a 23:59:59,823920031.5
 9-6-2023,00:00:00 a 05:59:59,877135222.0
 9-6-2023,06:00:00 a 11:59:59,905445987.0
 9-6-2023,12:00:00 a 17:59:59,818678537.0
 9-6-2023,18:00:00 a 23:59:59,923272041.0
 10-6-2023,00:00:00 a 05:59:59,886047207.0
 10-6-2023,06:00:00 a 11:59:59,874644948.5
 10-6-2023,12:00:00 a 17:59:59,920125716.0
 10-6-2023,18:00:00 a 23:59:59,876784116.0
 11-6-2023,00:00:00 a 05:59:59,781189876.5
 11-6-2023,06:00:00 a 11:59:59,856690404.0
 11-6-2023,12:00:00 a 17:59:59,906494592.5
 11-6-2023,18:00:00 a 23:59:59,877660675.5
 12-6-2023,00:00:00 a 05:59:59,861404897.0
 12-6-2023,06:00:00 a 11:59:59,882115845.0
 12-6-2023,12:00:00 a 17:59:59,784074773.0
 12-6-2023,18:00:00 a 23:59:59,876609131.0
 13-6-2023,00:00:00 a 05:59:59,871369616.0
 13-6-2023,06:00:00 a 11:59:59,881069067.5
 13-6-2023,12:00:00 a 17:59:59,780929461.0
 13-6-2023,18:00:00 a 23:59:59,906757442.5
 14-6-2023,00:00:00 a 05:59:59,836065969.0
 14-6-2023,06:00:00 a 11:59:59,928517622.0
 14-6-2023,12:00:00 a 17:59:59,820338486.33
 14-6-2023,18:00:00 a 23:59:59,857911923.0
 15-6-2023,00:00:00 a 05:59:59,865075976.5
 15-6-2023,06:00:00 a 11:59:59,882115441.5
 15-6-2023,12:00:00 a 17:59:59,842007403.5
 15-6-2023,18:00:00 a 23:59:59,900727520.5
 16-6-2023,00:00:00 a 05:59:59,882113197.0
 16-6-2023,06:00:00 a 11:59:59,871890346.5
 16-6-2023,12:00:00 a 17:59:59,896015563.0
 16-6-2023,18:00:00 a 23:59:59,875300347.0
 17-6-2023,00:00:00 a 05:59:59,908068470.0
 17-6-2023,06:00:00 a 11:59:59,889458003.5
 17-6-2023,12:00:00 a 17:59:59,915408175.0
 17-6-2023,18:00:00 a 23:59:59,888404285.0
 18-6-2023,00:00:00 a 05:59:59,902825606.0
 18-6-2023,06:00:00 a 11:59:59,886310360.0
 18-6-2023,12:00:00 a 17:59:59,826540928.5
 18-6-2023,18:00:00 a 23:59:59,903087081.5
 19-6-2023,00:00:00 a 05:59:59,896009052.67
 19-6-2023,06:00:00 a 11:59:59,904128895.0
 19-6-2023,12:00:00 a 17:59:59,878183980.0
 19-6-2023,18:00:00 a 23:59:59,919600048.0
 20-6-2023,00:00:00 a 05:59:59,841748644.0
 20-6-2023,06:00:00 a 11:59:59,862628507.0
 20-6-2023,12:00:00 a 17:59:59,888406621.0
 20-6-2023,18:00:00 a 23:59:59,757597750.0
 21-6-2023,00:00:00 a 05:59:59,886573340.33
