id_dataset,missing_rate,imputation,rmse,nrmse,nrmse_mean,mae,mape,r2
0,10,arima,3857066.826490278,0.0789965168333239,0.2040182035752568,2885976.428213923,17.894767958415542,0.8574849829357652
0,10,kalman,4317731.175346139,0.0884313751404116,0.2283848835247091,3115682.699905689,19.57149488873457,0.8214098503723354
0,10,knn_imputer,10217129.574545916,0.2092568484633443,0.5404315028140829,8610839.867990369,80.38480910328404,-9.451474893618084e-06
0,10,linear_interpolation,2646361.495820231,0.0542000825642553,0.1399783676756407,1870607.52409195,12.027654528168034,0.932912031623932
0,10,moving_average,3068700.0829879683,0.0628499916302377,0.1623178198372407,2286314.6698834426,15.62599830686924,0.909789894132086
0,10,pca,10217129.574545916,0.2092568484633443,0.5404315028140829,8610839.867990369,80.38480910328404,-9.451474893618084e-06
0,10,softimpute,21489690.69503145,0.4401299715819835,1.1366896888788662,18905503.32714556,100.0,-3.423913550622628
0,10,throughput_svd_knn,3463141.9551238017,0.0709285485735458,0.1831816849938733,2601979.627151472,18.11156325059102,0.8851087671029769
0,20,arima,4036575.370519503,0.0797195476133807,0.2108651341448745,2991112.973978682,18.636231841152995,0.841290249729906
0,20,kalman,5150553.048856583,0.1017198296388361,0.2690577927763701,3613147.142467884,22.882988483707702,0.7416043456473336
0,20,knn_imputer,10135811.85466744,0.2001752132883966,0.5294808421046755,8506329.029640814,78.13849506494218,-0.0006784727633812
0,20,linear_interpolation,2886533.922489908,0.0570070312949359,0.1507885538877551,2090186.904020264,13.597506746570346,0.9188420987420268
0,20,moving_average,3778558.016321849,0.0746238848634019,0.1973866631612912,2708995.122626404,18.58754375302582,0.8609312132337302
0,20,pca,10135811.85466744,0.2001752132883966,0.5294808421046755,8506329.029640814,78.13849506494218,-0.0006784727633812
0,20,softimpute,21659099.473608583,0.4277521050045627,1.131441505914918,19142924.632320587,100.0,-3.5693904328298
0,20,throughput_svd_knn,3802727.778229636,0.0751012208000188,0.1986492582125708,2878329.00750748,20.37090557767676,0.8591464002472211
0,30,arima,4046374.149130064,0.0761817326364874,0.2110638423051412,2991793.4193210825,18.823262454117422,0.8387835986231535
0,30,kalman,5545537.409746613,0.1044067188808485,0.2892620381137172,3804428.6124263504,23.99100310793833,0.6971940347057406
0,30,knn_imputer,10083578.966096452,0.1898451523518212,0.5259718558722956,8442472.16062698,77.49352257273478,-0.0011670668867964
0,30,linear_interpolation,3064783.55568354,0.0577011696948447,0.1598628721061919,2234804.4317962565,14.531139196456754,0.9075138363195168
0,30,moving_average,4017492.303267155,0.0756379695096768,0.209557329774163,2870214.815886809,19.6628800549814,0.8410768170373976
0,30,pca,10083578.966096452,0.1898451523518212,0.5259718558722956,8442472.16062698,77.49352257273478,-0.0011670668867964
0,30,softimpute,21658713.13295792,0.4077720527895607,1.1297450618128644,19171327.99695792,100.0,-3.6189413330702376
0,30,throughput_svd_knn,4148284.570721925,0.0781004164270736,0.2163796149844273,3152366.5541884364,21.77300196566389,0.8305606681649869
0,40,arima,4148937.2674084655,0.0775214439349726,0.2156396058976221,3086211.051720476,20.63145356046428,0.834141130823824
0,40,kalman,6037370.017678083,0.1128061503885927,0.3137902569646273,4145960.3691334175,27.744758689372738,0.6487951127184419
0,40,knn_imputer,10200535.086145014,0.1905934358176597,0.5301693479918844,8508199.741964659,77.51931249843786,-0.0025611503007334
0,40,linear_interpolation,3350403.164401828,0.0626011130871988,0.1741360669984378,2444346.515855328,16.899071520824904,0.8918418864552887
0,40,moving_average,4661194.080257628,0.0870927835909223,0.2422639798328209,3310356.241981556,23.677712764216626,0.7906565698430841
0,40,pca,10200535.086145014,0.1905934358176597,0.5301693479918844,8508199.741964659,77.51931249843786,-0.0025611503007334
0,40,softimpute,21770812.64514613,0.4067800313943223,1.1315305959790227,19240144.91743336,100.0,-3.566823679300714
0,40,throughput_svd_knn,4529133.842202028,0.0846252841613971,0.2354001937947053,3440611.7073160657,23.60247458072707,0.8023507033351759
100,10,arima,72520.78332133581,0.0811073730309819,1.208900748928454,33633.15592933312,78.70637449209835,0.3734486259952514
100,10,kalman,71635.99080374069,0.0801178195058685,1.1941515103215352,34160.193051390976,80.62090547415906,0.3886438886181103
100,10,knn_imputer,91693.1662545423,0.1025498001979113,1.528498897558456,64278.44572854954,412.9219044173784,-0.0016261470480796
100,10,linear_interpolation,64342.56764550513,0.071960842075734,1.0725722289840005,28158.115590679296,75.94960986246797,0.5067938430201417
100,10,moving_average,59579.61087537623,0.0666339427540104,0.9931750997361056,27651.5617267471,77.66843933829321,0.5771103669243619
100,10,pca,91693.1662545423,0.1025498001979113,1.528498897558456,64278.44572854954,412.9219044173784,-0.0016261470480796
100,10,softimpute,109511.0524275992,0.1224773557795749,1.825517971986921,59989.03002220545,99.99999999999925,-0.4287216282453969
100,10,throughput_svd_knn,62229.0766344076,0.0695971099704813,1.0373409373575946,27628.477028959613,94.08471692658728,0.5386628507091417
100,20,arima,80845.23945905388,0.0473891207412208,1.243650565533657,34957.13285285404,78.34736402792055,0.3783426573619525
100,20,kalman,81511.78157274237,0.0477798282821477,1.2539040508617638,36572.98803922573,82.69893829607858,0.3680496843821923
100,20,knn_imputer,102558.71767051236,0.060116928186158,1.5776712158288413,67192.05024683828,412.18648327104194,-0.0004314324011736
100,20,linear_interpolation,72019.4148841337,0.0422156798655393,1.107882005784885,29234.820960337373,74.03577832008298,0.5066656661065154
100,20,moving_average,70779.71853302186,0.0414890060321958,1.088811630355654,30075.667924253285,78.35635156205034,0.5235033774137021
100,20,pca,102558.71767051236,0.060116928186158,1.5776712158288413,67192.05024683828,412.18648327104194,-0.0004314324011736
100,20,softimpute,121406.69643845764,0.0711650634571841,1.867611595877977,65006.394641377934,99.99999999999925,-0.4019336104674669
100,20,throughput_svd_knn,72607.06154710973,0.0425601411950039,1.1169218343466427,29736.74357485844,97.29004661006778,0.4985820395125948
100,30,arima,84059.12307183971,0.0492730055511814,1.2779974010536153,37036.03018442569,132.31276885647682,0.4029659324956504
100,30,kalman,89108.01869653129,0.0522325208667309,1.3547585573772698,39153.72978328991,87.26720442115791,0.3290919887161466
100,30,knn_imputer,108847.27133959318,0.0638030948807678,1.654865347154439,67737.54188498245,403.7192715748742,-0.0010701133101
100,30,linear_interpolation,76727.51981312531,0.0449754336177108,1.166530976377908,30152.90058688501,73.22392072073355,0.5025702872237158
100,30,moving_average,78164.28445249311,0.0458176231322363,1.1883749048884222,32169.129927001668,76.85856852394674,0.483766580335313
100,30,pca,108847.27133959318,0.0638030948807678,1.654865347154439,67737.54188498245,403.7192715748742,-0.0010701133101
100,30,softimpute,127127.08308748832,0.0745181872207012,1.932783448745789,65774.09547354243,99.99999999999926,-0.3655435893414325
100,30,throughput_svd_knn,81875.248003258,0.0479928816997186,1.244794738928673,31944.393014955487,106.57495160955035,0.4335851118831468
100,40,arima,82659.2640938219,0.0484524490586304,1.2667436932687497,36514.01588398484,128.12969963105454,0.3954292586719282
100,40,kalman,89313.10797261176,0.0523527382169662,1.368713083655349,41169.06358132985,101.718963504597,0.2941791857484526
100,40,knn_imputer,106358.3365304694,0.0623441539094032,1.6299292463286912,67060.4811688914,393.9416266519015,-0.0009378883489548
