,rmse,rmse,rmse,rmse,mae,mae,mae,mae
,mean,median,std,count,mean,median,std,count
method,,,,,,,,
HoltWinters,83840847.911163,92651118.16360486,34021100.49095075,44,59630905.41731484,72859199.96074589,26057482.90933281,44
SVD_KNN_Hankel,84746061.3424078,87110236.2425287,40024893.07970113,44,54816203.3454681,64824070.69432178,25895952.459492102,44
ARIMA,87627452.0286917,92743155.72171003,36636402.11676991,44,59043734.98511741,70261432.30686101,24748172.224130154,44
KNN_Sklearn,92746800.35475849,84502451.88309574,67794480.54805477,44,63320547.75189391,67646643.41603589,44117571.496580236,44
Mean,92746800.35475849,84502451.88309574,67794480.54805477,44,63320547.75189391,67646643.41603589,44117571.496580236,44
Linear,95371440.87940079,107831869.76067814,36542226.243181124,44,65525338.10547015,79938367.15171684,26343530.813671313,44
SVD_KNN,100455256.9974665,88272107.18085814,80442999.4476078,44,64852764.862328626,66423918.44254696,45023346.991956316,44
LOCF,109797214.12882973,116457118.57407323,46591955.59290309,44,70991460.14239028,77933821.02324912,29158387.23207471,44
Spline,133677897.72615409,146966319.19481492,47825347.904176734,44,89993379.08039348,109622472.0328688,34872136.322722465,44
Kalman,157980272.25165015,159451766.39858675,64588681.45614781,44,100677861.92591396,108872494.83807915,46765327.47948671,44
