,rmse,rmse,rmse,rmse,mae,mae,mae,mae
,mean,median,std,count,mean,median,std,count
missing_rate,,,,,,,,
0.1,95933462.5942538,94580735.80179998,58886357.67159265,110,66561313.33003454,69460221.01202579,37471880.31617798,110
0.2,105925759.09882225,94036354.97482535,59548183.55062068,110,69654600.83528028,71726789.20055178,38481130.77766174,110
0.3,104536068.30088042,100196837.15548496,57313589.57437739,110,69335921.6005301,71953837.72033325,37489232.075235955,110
0.4,109200727.59615584,101310077.93998623,58630544.5294839,110,71317261.58142896,70275295.7310056,39214670.72684417,110
