method,rmse_wins,mae_wins,matchups_total,rmse_win_rate,mae_win_rate
KNN_Sklearn,32,18,44,0.7272727272727273,0.4090909090909091
Mean,32,18,44,0.7272727272727273,0.4090909090909091
ARIMA,6,4,44,0.13636363636363635,0.09090909090909091
HoltWinters,3,2,44,0.06818181818181818,0.045454545454545456
SVD_KNN_Hankel,2,16,44,0.045454545454545456,0.36363636363636365
SVD_KNN,1,3,44,0.022727272727272728,0.06818181818181818
LOCF,0,1,44,0.0,0.022727272727272728
