dataset,missing_rate,method,rmse,mae,n_points,imputed_csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.4,Mean,97274838.5994099,75632649.6506024,415,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr40_Mean_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023,0.4,LOCF,133863616.82172999,101880850.08937198,415,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_mr40_LOCF_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,SVD_KNN,96758175.42170183,73057520.07512073,30,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_SVD_KNN_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,SVD_KNN_Hankel,83827216.48860772,57175281.390777744,30,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Kalman,378852517.0380952,222351032.4310268,30,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Kalman_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,ARIMA,120003660.92985111,90196110.39874381,30,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_ARIMA_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,HoltWinters,96403617.63234885,74038178.99038222,30,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_HoltWinters_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Linear,118949442.94119504,87736237.51666667,30,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Linear_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,KNN_Sklearn,86139551.82766616,59412315.20830237,30,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_KNN_Sklearn_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Spline,151121958.81968546,110826352.93087544,30,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Spline_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Mean,86139551.82766616,59412315.20830237,30,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Mean_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,LOCF,155168518.59060538,104294169.66666667,30,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_LOCF_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,SVD_KNN,122724131.9426141,80432723.38849267,60,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_SVD_KNN_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,SVD_KNN_Hankel,125264190.14588404,79996159.9967971,60,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,Kalman,271386500.64543074,186803539.64720345,60,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_Kalman_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,ARIMA,181678659.33161944,106320074.19403021,60,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_ARIMA_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,HoltWinters,132919717.68819688,91801882.19298749,60,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_HoltWinters_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,Linear,176733059.68628895,103309898.63055556,60,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_Linear_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,KNN_Sklearn,119953149.28155869,76908158.19121338,60,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_KNN_Sklearn_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,Spline,230222718.11696947,131599360.51935148,60,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_Spline_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,Mean,119953149.28155869,76908158.19121338,60,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_Mean_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,LOCF,253582886.85292897,120319670.91666667,60,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_LOCF_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,SVD_KNN,109070277.09088571,73548545.98203442,90,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_SVD_KNN_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,SVD_KNN_Hankel,110729782.63577013,70621514.1703866,90,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,Kalman,270750805.6267399,179065601.91089746,90,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_Kalman_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,ARIMA,174696611.5843884,101770598.51191491,90,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_ARIMA_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,HoltWinters,125339203.11502829,88262721.77658199,90,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_HoltWinters_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,Linear,155669333.57746837,89428135.03925925,90,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_Linear_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,KNN_Sklearn,110056530.17010014,72328735.46905899,90,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_KNN_Sklearn_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,Spline,201317953.09602875,114825722.39703473,90,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_Spline_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,Mean,110056530.17010014,72328735.46905899,90,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_Mean_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,LOCF,220154736.83856553,106961912.5,90,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_LOCF_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,SVD_KNN,113837032.85933582,72526824.51446065,120,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_SVD_KNN_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,SVD_KNN_Hankel,113998895.99701874,70903283.5675487,120,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,Kalman,293872006.278317,197786951.81342348,120,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_Kalman_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,ARIMA,173228922.1317492,94195594.12293202,120,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_ARIMA_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,HoltWinters,130439832.79224455,87995375.32321621,120,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_HoltWinters_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,Linear,150189311.77794582,85690339.75277779,120,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_Linear_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,KNN_Sklearn,112838089.78184022,70275295.7310056,120,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_KNN_Sklearn_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,Spline,226063882.06250152,131295545.49601,120,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_Spline_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,Mean,112838089.78184022,70275295.7310056,120,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_Mean_imputed.csv
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,LOCF,199474461.4708903,98068146.35,120,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_LOCF_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,SVD_KNN,63665546.659753524,39485776.68390533,105,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_SVD_KNN_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,SVD_KNN_Hankel,61187514.80462378,34406991.109424725,105,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,Kalman,179849250.07248604,85733510.45132384,105,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_Kalman_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,ARIMA,63701486.27095692,46416231.82809094,105,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_ARIMA_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,HoltWinters,63963311.05918894,44130582.488139875,105,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_HoltWinters_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,Linear,80146194.85470355,49974026.46955128,105,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_Linear_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,KNN_Sklearn,59562692.18182528,43684194.190239854,105,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_KNN_Sklearn_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,Spline,115292569.94871967,80585882.56250657,105,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_Spline_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,Mean,59562692.18182528,43684194.190239854,105,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_Mean_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,LOCF,95408599.91281691,51973283.240384616,105,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr10_LOCF_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,SVD_KNN,77665106.05032983,41790338.91016443,208,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_SVD_KNN_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,SVD_KNN_Hankel,76893753.53863063,38752645.11297546,208,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,Kalman,159982002.04396498,92732404.81002034,208,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_Kalman_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,ARIMA,81003779.00948893,51198591.87620826,208,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_ARIMA_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,HoltWinters,76555524.95011212,47557678.428757966,208,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_HoltWinters_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,Linear,91779629.73343398,56021466.33816425,208,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_Linear_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,KNN_Sklearn,73709097.14612365,47630898.16196132,208,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_KNN_Sklearn_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,Spline,124460557.95943987,82571062.46744919,208,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_Spline_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,Mean,73709097.14612365,47630898.16196132,208,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_Mean_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,LOCF,103902195.27109255,56558051.73913044,208,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr20_LOCF_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,SVD_KNN,71867712.85284747,39546588.09185313,311,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr30_SVD_KNN_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,SVD_KNN_Hankel,71770773.26188365,35872836.99015955,311,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr30_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,Kalman,160039425.91944376,94769097.14088403,311,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr30_Kalman_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,ARIMA,77734693.76147546,50220274.11610424,311,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr30_ARIMA_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,HoltWinters,72514981.70423561,47269265.69634658,311,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr30_HoltWinters_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,Linear,88074574.35580876,54270965.06124424,311,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr30_Linear_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,KNN_Sklearn,69020110.06656563,45755125.806202106,311,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr30_KNN_Sklearn_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,Spline,119014392.49019693,77974624.3121257,311,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr30_Spline_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,Mean,69020110.06656563,45755125.806202106,311,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr30_Mean_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,LOCF,104200005.200797,58490196.86451613,311,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr30_LOCF_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,SVD_KNN,80138158.77178404,42795235.79082971,415,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr40_SVD_KNN_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,SVD_KNN_Hankel,80180595.64164865,39948838.15534441,415,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr40_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,Kalman,158921530.75321105,96953307.16394438,415,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr40_Kalman_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,ARIMA,93093549.63023485,54813384.02874273,415,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr40_ARIMA_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,HoltWinters,96988579.02145304,60316060.8590971,415,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr40_HoltWinters_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,Linear,94561175.7294248,57320984.92961813,415,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr40_Linear_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,KNN_Sklearn,76052112.55202058,48095431.44433535,415,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr40_KNN_Sklearn_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,Spline,123146164.2519734,79037164.58377264,415,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr40_Spline_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,Mean,76052112.55202058,48095431.44433535,415,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr40_Mean_imputed.csv
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,LOCF,110606592.7859948,63260541.0,415,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023_mr40_LOCF_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,SVD_KNN,320916690.83075243,171390735.86969844,88,imputation_results_final_longest\imputed_datasets_all\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr10_SVD_KNN_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,SVD_KNN_Hankel,118406369.08734968,79438200.05620097,88,imputation_results_final_longest\imputed_datasets_all\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr10_SVD_KNN_Hankel_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,Kalman,170728412.67567962,110951510.01279487,88,imputation_results_final_longest\imputed_datasets_all\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr10_Kalman_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,ARIMA,95875946.7356965,64740324.88894077,88,imputation_results_final_longest\imputed_datasets_all\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr10_ARIMA_imputed.csv
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,HoltWinters,99390850.61650495,72530669.6675597,88,imputation_results_final_longest\imputed_datasets_all\esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr10_HoltWinters_imputed.csv
