Timestamp,Data,Vazao
1682663661,2023-04-28 03:34:21,3741484.0
1682697978,2023-04-28 13:06:18,3757431.0
1682700835,2023-04-28 13:53:55,4073298.3218847015
1682715037,2023-04-28 17:50:37,4235074.0
1682721270,2023-04-28 19:34:30,3996722.0
1682729432,2023-04-28 21:50:32,3800886.41636759
1682746373,2023-04-29 02:32:53,3725292.8725273567
1682751196,2023-04-29 03:53:16,3704443.3924473464
1682753470,2023-04-29 04:31:10,3672840.0
1682788236,2023-04-29 14:10:36,3588731.0
1682788567,2023-04-29 14:16:07,3509295.0504412674
1682795509,2023-04-29 16:11:49,3531238.0
1682795684,2023-04-29 16:14:44,3705997.062170592
1682803194,2023-04-29 18:19:54,3888154.0
1682809447,2023-04-29 20:04:07,3867381.0
1682832606,2023-04-30 02:30:06,3670023.0
1682839752,2023-04-30 04:29:12,3957637.0
1682845029,2023-04-30 05:57:09,3976186.0
1682845344,2023-04-30 06:02:24,4071360.5469422145
1682860970,2023-04-30 10:22:50,4086277.0
1682868312,2023-04-30 12:25:12,3890444.0
1682883178,2023-04-30 16:32:58,3975072.0
1682889031,2023-04-30 18:10:31,3727147.0
1682896371,2023-04-30 20:12:51,3677459.12019742
1682926345,2023-05-01 04:32:25,3841345.221994824
1682940887,2023-05-01 08:34:47,3989830.962938122
1682962658,2023-05-01 14:37:38,3893942.0
1682977513,2023-05-01 18:45:13,3493503.0
1683028936,2023-05-02 09:02:16,3260180.982500858
1683034359,2023-05-02 10:32:39,3261027.206472984
1683035945,2023-05-02 10:59:05,3419739.2392581124
1683044024,2023-05-02 13:13:44,3660014.6480509774
1683051378,2023-05-02 15:16:18,3905551.0
1683057033,2023-05-02 16:50:33,4095083.7620576615
1683131369,2023-05-03 13:29:29,4227500.0
1683136144,2023-05-03 14:49:04,4339434.0
1683151457,2023-05-03 19:04:17,4408291.0
1683152018,2023-05-03 19:13:38,4421627.0
1683160209,2023-05-03 21:30:09,5408647.0
1683165870,2023-05-03 23:04:30,5268855.695810195
1683177337,2023-05-04 02:15:37,4418815.0
1683183105,2023-05-04 03:51:45,3920069.3811905487
1683205416,2023-05-04 10:03:36,3737924.0
1683225034,2023-05-04 15:30:34,3581201.0
1683226895,2023-05-04 16:01:35,3361981.943942568
1683237971,2023-05-04 19:06:11,3541734.0
1683245595,2023-05-04 21:13:15,4052626.0
1683258911,2023-05-05 00:55:11,3429538.0
1683268277,2023-05-05 03:31:17,3544203.0
1683288590,2023-05-05 09:09:50,3814148.4906963613
1683304633,2023-05-05 13:37:13,3949482.0
1683316641,2023-05-05 16:57:21,3974292.8244237155
1683323809,2023-05-05 18:56:49,3868267.0
1683336427,2023-05-05 22:27:07,3630593.0
1683338724,2023-05-05 23:05:24,3366126.76837711
1683377892,2023-05-06 09:58:12,3143345.3512154557
1683379527,2023-05-06 10:25:27,3013980.25840111
1683420500,2023-05-06 21:48:20,3029763.0
1683468920,2023-05-07 11:15:20,3279244.0
1683470394,2023-05-07 11:39:54,3763237.0
1683485970,2023-05-07 15:59:30,3845557.3181317966
1683493585,2023-05-07 18:06:25,3719936.210240815
1683494882,2023-05-07 18:28:02,3846337.0
1683503421,2023-05-07 20:50:21,4369263.316084724
1683513775,2023-05-07 23:42:55,4171380.0
1683535115,2023-05-08 05:38:35,2389187.1917308057
1683565614,2023-05-08 14:06:54,436365.01229836093
1683582107,2023-05-08 18:41:47,295888.576677511
1683586875,2023-05-08 20:01:15,3950733.0
1683590764,2023-05-08 21:06:04,11395848.080129765
1683593787,2023-05-08 21:56:27,14674082.343838368
1683613570,2023-05-09 03:26:10,3840259.0
1683638107,2023-05-09 10:15:07,-25067480.751799595
1683657763,2023-05-09 15:42:43,-52077723.76261132
1683663628,2023-05-09 17:20:28,-51235738.892682664
1683668826,2023-05-09 18:47:06,3413205.0
1683669476,2023-05-09 18:57:56,129394169.32906514
1683677642,2023-05-09 21:14:02,310513536.65819395
1683703618,2023-05-10 04:26:58,522148019.8226826
1683721176,2023-05-10 09:19:36,739674331.6607181
1683900443,2023-05-12 11:07:23,938469185.0
1683907733,2023-05-12 13:08:53,1095081844.743278
1683915137,2023-05-12 15:12:17,1190751783.8627894
1683922869,2023-05-12 17:21:09,1207891027.405821
1683927217,2023-05-12 18:33:37,1128911600.4091723
1683934927,2023-05-12 20:42:07,936225528.0
1683957970,2023-05-13 03:06:10,673110918.8003151
1683965689,2023-05-13 05:14:49,626310217.0
1683973174,2023-05-13 07:19:34,909351796.0
1683980416,2023-05-13 09:20:16,939001404.0
1683985321,2023-05-13 10:42:01,828008076.1802555
1684022673,2023-05-13 21:04:33,816004536.0
1684029968,2023-05-13 23:06:08,869991588.0
1684035896,2023-05-14 00:44:56,582032404.0
1684037460,2023-05-14 01:11:00,938438200.0
1684044076,2023-05-14 03:01:16,939841535.0
1684059291,2023-05-14 07:14:51,727473926.4887267
1684080244,2023-05-14 13:04:04,548578537.5047863
1684122789,2023-05-15 00:53:09,551098267.0
1684123558,2023-05-15 01:05:58,764271737.0
1684137704,2023-05-15 05:01:44,879069338.0
1684161309,2023-05-15 11:35:09,953035121.6755966
1684161499,2023-05-15 11:38:19,936591735.0
1684190892,2023-05-15 19:48:12,808091761.0
1684194561,2023-05-15 20:49:21,823093063.0
1684229197,2023-05-16 06:26:37,888775372.0
1684256330,2023-05-16 13:58:50,707017356.0
1684261965,2023-05-16 15:32:45,928306792.0
1684299639,2023-05-17 02:00:39,1113712600.7327106
1684318262,2023-05-17 07:11:02,1136698460.3661537
1684338614,2023-05-17 12:50:14,1051383265.4465092
1684377670,2023-05-17 23:41:10,911885911.0
1684390070,2023-05-18 03:07:50,780593288.0
1684392604,2023-05-18 03:50:04,737160676.8120108
1684404257,2023-05-18 07:04:17,806296992.0
1684454787,2023-05-18 21:06:27,925887677.0
1684457074,2023-05-18 21:44:34,877891461.0
1684463091,2023-05-18 23:24:51,829484795.0
1684470864,2023-05-19 01:34:24,846840147.1788782
1684477443,2023-05-19 03:24:03,925107702.0
1684486942,2023-05-19 06:02:22,1019293790.6075968
1684509377,2023-05-19 12:16:17,938477960.0
1684514567,2023-05-19 13:42:47,694500671.0
1684545513,2023-05-19 22:18:33,843944747.0
1684574215,2023-05-20 06:16:55,865632699.0
1684581045,2023-05-20 08:10:45,932223199.0
1684592939,2023-05-20 11:28:59,803358820.0
1684599602,2023-05-20 13:20:02,675700279.0
1684608694,2023-05-20 15:51:34,870006247.0
1684620640,2023-05-20 19:10:40,749675400.0
1684626374,2023-05-20 20:46:14,917992199.0
1684651221,2023-05-21 03:40:21,1033261945.2822
1684659709,2023-05-21 06:01:49,1001191768.194419
1684661367,2023-05-21 06:29:27,890355799.1036069
1684666864,2023-05-21 08:01:04,769328170.0
1684668326,2023-05-21 08:25:26,691751375.6984763
1684677546,2023-05-21 10:59:06,651541361.110976
1684679396,2023-05-21 11:29:56,627682433.9740825
1684681914,2023-05-21 12:11:54,599158902.0
1684686204,2023-05-21 13:23:24,555893005.5180718
1684690428,2023-05-21 14:33:48,531558715.99138737
1684693365,2023-05-21 15:22:45,570767937.500175
1684701871,2023-05-21 17:44:31,718132574.0
1684705561,2023-05-21 18:46:01,928140827.0
1684725112,2023-05-22 00:11:52,925739209.0
1684737416,2023-05-22 03:36:56,841977492.3582841
1684747036,2023-05-22 06:17:16,828516393.0
1684753073,2023-05-22 07:57:53,926161929.0
1684758367,2023-05-22 09:26:07,929559353.1397916
1684764851,2023-05-22 11:14:11,897748172.0
1684773808,2023-05-22 13:43:28,921229788.0
1684788792,2023-05-22 17:53:12,921595750.0
1684791499,2023-05-22 18:38:19,939318466.0
1684806818,2023-05-22 22:53:38,938266227.0
1684831775,2023-05-23 05:49:35,925458740.0
1684847758,2023-05-23 10:15:58,924750804.3340477
1684857717,2023-05-23 13:01:57,920919515.0
1684875138,2023-05-23 17:52:18,893860179.0
1684879791,2023-05-23 19:09:51,854217487.5551332
1684883912,2023-05-23 20:18:32,855360817.0
1684895613,2023-05-23 23:33:33,909279316.0
1684916755,2023-05-24 05:25:55,893150197.0
1684922795,2023-05-24 07:06:35,874389470.0
1685646612,2023-06-01 16:10:12,866404207.3897429
1685650490,2023-06-01 17:14:50,864730878.3050528
1685663685,2023-06-01 20:54:45,868279861.8181207
1685714881,2023-06-02 11:08:01,875961537.0
1685723701,2023-06-02 13:35:01,869357743.0
1685729058,2023-06-02 15:04:18,806292085.8188251
1685738854,2023-06-02 17:47:34,809483349.0
1685757680,2023-06-02 23:01:20,937953952.0
1685765953,2023-06-03 01:19:13,937953811.0
1685795040,2023-06-03 09:24:00,902241781.3619324
1685809168,2023-06-03 13:19:28,883071496.1070442
1685810754,2023-06-03 13:45:54,891511115.0969684
1685837535,2023-06-03 21:12:15,938628798.0
1685839020,2023-06-03 21:37:00,995236014.3474702
1685847324,2023-06-03 23:55:24,871117472.0
1685888182,2023-06-04 11:16:22,540109808.0
1685896700,2023-06-04 13:38:20,591096232.0
1685902756,2023-06-04 15:19:16,924845557.0
1685918933,2023-06-04 19:48:53,1053785192.0029958
1685939878,2023-06-05 01:37:58,1000798925.3461535
1685946374,2023-06-05 03:26:14,937302478.0
1685946592,2023-06-05 03:29:52,926943640.0
1686013574,2023-06-05 22:06:14,807405377.0
1686021243,2023-06-06 00:14:03,788384207.0
1686025913,2023-06-06 01:31:53,449152963.0
1686026873,2023-06-06 01:47:53,650836333.0
1686033057,2023-06-06 03:30:57,939042158.0
1686042207,2023-06-06 06:03:27,939526632.0
1686050651,2023-06-06 08:24:11,938478851.0
1686069545,2023-06-06 13:39:05,986270340.239736
1686076962,2023-06-06 15:42:42,1008040612.548207
1686092769,2023-06-06 20:06:09,922231260.0
1686100063,2023-06-06 22:07:43,744291731.0
1686130915,2023-06-07 06:41:55,765505059.7203343
1686135548,2023-06-07 07:59:08,925370772.0
1686145128,2023-06-07 10:38:48,1066486605.1619043
1686150369,2023-06-07 12:06:09,1092634503.9244516
1686151065,2023-06-07 12:17:45,922892466.0
1686166968,2023-06-07 16:42:48,694684170.0
1686174013,2023-06-07 18:40:13,935028432.0
1686194170,2023-06-08 00:16:10,839911727.0
1686200597,2023-06-08 02:03:17,611192643.3486629
1686222351,2023-06-08 08:05:51,622781745.0
1686245412,2023-06-08 14:30:12,936937322.0
1686286658,2023-06-09 01:57:38,910160736.0
1686319486,2023-06-09 11:04:46,824630676.5583528
1686347243,2023-06-09 18:47:23,791147881.4641559
1686379071,2023-06-10 03:37:51,795885672.6441786
1686382601,2023-06-10 04:36:41,825017371.6916487
1686417847,2023-06-10 14:24:07,864716300.199795
1686418743,2023-06-10 14:39:03,901155779.7618455
1686433388,2023-06-10 18:43:08,920509132.0
1686441457,2023-06-10 20:57:37,916290882.5871187
1686454312,2023-06-11 00:31:52,911380374.0
1686462990,2023-06-11 02:56:30,924287347.0
1686470436,2023-06-11 05:00:36,934056280.5862248
1686499093,2023-06-11 12:58:13,937532697.0
1686514258,2023-06-11 17:10:58,937003077.2449067
1686514698,2023-06-11 17:18:18,927005889.0
1686520623,2023-06-11 18:57:03,892280117.0
1686520810,2023-06-11 19:00:10,815240201.2971473
1686541300,2023-06-12 00:41:40,786939604.0
1686551324,2023-06-12 03:28:44,865128881.0
1686557140,2023-06-12 05:05:40,917623199.0
1686558813,2023-06-12 05:33:33,956311927.7497876
1686572694,2023-06-12 09:24:54,922428247.0
1686607458,2023-06-12 19:04:18,800066128.0
1686613407,2023-06-12 20:43:27,794747960.0
1686615243,2023-06-12 21:14:03,871597875.9506555
1686630053,2023-06-13 01:20:53,939000089.0
1686680282,2023-06-13 15:18:02,937885251.0
1686693443,2023-06-13 18:57:23,907550212.2534878
1686695263,2023-06-13 19:27:43,881467867.9529295
1686702455,2023-06-13 21:27:35,885000312.0
1686717799,2023-06-14 01:43:19,923798735.0
1686724255,2023-06-14 03:30:55,938561163.0
1686731114,2023-06-14 05:25:14,917861482.1695397
1686746055,2023-06-14 09:34:15,912263902.0
1686761577,2023-06-14 13:52:57,937358376.0
1686773637,2023-06-14 17:13:57,901980437.0
1686781520,2023-06-14 19:25:20,938008497.0
1686782718,2023-06-14 19:45:18,1012763446.9456478
1686802347,2023-06-15 01:12:27,934283598.0
1686804118,2023-06-15 01:41:58,640439130.0
1686817798,2023-06-15 05:29:58,548335175.9325092
1686819597,2023-06-15 05:59:57,653208308.7226937
1686855957,2023-06-15 16:05:57,805847823.0
1686863020,2023-06-15 18:03:40,882676622.8715802
1686867695,2023-06-15 19:21:35,862652051.0
1686869312,2023-06-15 19:48:32,818296914.0
1686890301,2023-06-16 01:38:21,935769673.0
1686934169,2023-06-16 13:49:29,954208921.9419475
1686935412,2023-06-16 14:10:12,924322979.0
1686948746,2023-06-16 17:52:26,924846621.0
1687014055,2023-06-17 12:00:55,850022959.0
1687022654,2023-06-17 14:24:14,922800771.0
1687041765,2023-06-17 19:42:45,683015907.0649351
1687049687,2023-06-17 21:54:47,358218296.1549226
1687063196,2023-06-18 01:39:56,416426742.0
1687071077,2023-06-18 03:51:17,934838176.0
1687071622,2023-06-18 04:00:22,923798920.0
1687087440,2023-06-18 08:24:00,804389356.3669785
1687108250,2023-06-18 14:10:50,757359887.124869
1687115876,2023-06-18 16:17:56,779269197.0291452
1687121798,2023-06-18 17:56:38,866675970.0
1687129105,2023-06-18 19:58:25,937952357.0
1687129522,2023-06-18 20:05:22,832104925.0
1687143021,2023-06-18 23:50:21,935427684.0
1687168034,2023-06-19 06:47:14,885453632.0
1687215798,2023-06-19 20:03:18,892242201.8553019
1687230790,2023-06-20 00:13:10,937377637.0
1687244471,2023-06-20 04:01:11,923274030.0
1687247703,2023-06-20 04:55:03,902936453.5216515
1687260659,2023-06-20 08:30:59,924810785.0
1687281037,2023-06-20 14:10:37,908920815.0
1687311575,2023-06-20 22:39:35,676147743.0
1687312613,2023-06-20 22:56:53,924321638.0
1687339499,2023-06-21 06:24:59,1042233710.2036653
1687361895,2023-06-21 12:38:15,964186310.5519351
1687363846,2023-06-21 13:10:46,881855678.0
1687370130,2023-06-21 14:55:30,914885350.0
1687370174,2023-06-21 14:56:14,936373498.0
1687384139,2023-06-21 18:48:59,916197163.8658273
1687390845,2023-06-21 20:40:45,875697899.8103446
1687398220,2023-06-21 22:43:40,838687024.0
1687414587,2023-06-22 03:16:27,844670665.0
1687420821,2023-06-22 05:00:21,937940211.0
1687433417,2023-06-22 08:30:17,989560042.187109
1687435141,2023-06-22 08:59:01,984817051.2529597
1687454907,2023-06-22 14:28:27,952052254.6772611
1687456290,2023-06-22 14:51:30,919606669.0
1687469662,2023-06-22 18:34:22,908929836.856744
1687536646,2023-06-23 13:10:46,913905405.0
1687542391,2023-06-23 14:46:31,924053087.6830125
1687578980,2023-06-24 00:56:20,939002765.0
1687593448,2023-06-24 04:57:28,957676455.846589
1687631075,2023-06-24 15:24:35,966054568.5058607
1687636691,2023-06-24 16:58:11,946882108.6571461
1687651727,2023-06-24 21:08:47,882904082.0
1687681133,2023-06-25 05:18:53,783054743.9064947
1687683348,2023-06-25 05:55:48,761025349.0
1687711413,2023-06-25 13:43:33,877496477.0
1687716258,2023-06-25 15:04:18,940995290.1485077
1687725650,2023-06-25 17:40:50,939434160.4653834
1687733259,2023-06-25 19:47:39,925371743.0
1687740986,2023-06-25 21:56:26,936904576.0
1687760815,2023-06-26 03:26:55,954111382.0156672
1687782124,2023-06-26 09:22:04,941931378.0
1687797782,2023-06-26 13:43:02,877924926.14104
1687805201,2023-06-26 15:46:41,790814358.8203415
1687868982,2023-06-27 09:29:42,722112501.0
1687893796,2023-06-27 16:23:16,707317231.1441894
1687899408,2023-06-27 17:56:48,757866642.0
1687911581,2023-06-27 21:19:41,861583749.4470417
1687925681,2023-06-28 01:14:41,935891047.0
1687933468,2023-06-28 03:24:28,940561902.0
1687943689,2023-06-28 06:14:49,988262224.4367483
1687957772,2023-06-28 10:09:32,903962998.0
1687968447,2023-06-28 13:07:27,686838493.0
1687974924,2023-06-28 14:55:24,937430506.0
1687983228,2023-06-28 17:13:48,1017715780.7081016
1688017609,2023-06-29 02:46:49,937325431.0
1688063775,2023-06-29 15:36:15,889294672.0
1688071439,2023-06-29 17:43:59,768762856.1707345
1688084287,2023-06-29 21:18:07,618521576.3868387
1688105643,2023-06-30 03:14:03,540596078.3795738
1688141356,2023-06-30 13:09:16,637011608.0
1688157134,2023-06-30 17:32:14,913471061.0
1688172037,2023-06-30 21:40:37,1079423010.0687895
1688185713,2023-07-01 01:28:33,1104133997.603417
1688187750,2023-07-01 02:02:30,1045905645.4758655
1688200773,2023-07-01 05:39:33,963039575.63221
1688229355,2023-07-01 13:35:55,913837410.0
1688257730,2023-07-01 21:28:50,923278831.0
1688259276,2023-07-01 21:54:36,899303782.0
1688286309,2023-07-02 05:25:09,817905808.9406528
1688317612,2023-07-02 14:06:52,816860349.0
1688317700,2023-07-02 14:08:20,921869218.0
1688325285,2023-07-02 16:14:45,812124588.0
1688332552,2023-07-02 18:15:52,840548684.3745921
1688338508,2023-07-02 19:55:08,939031359.0
1688369171,2023-07-03 04:26:11,930034425.0984819
1688417261,2023-07-03 17:47:41,866658628.0
1688424427,2023-07-03 19:47:07,829187379.5390621
1688434485,2023-07-03 22:34:45,775995826.0
1688448312,2023-07-04 02:25:12,730796377.0
1688454849,2023-07-04 04:14:09,923993144.0
1688499800,2023-07-04 16:43:20,1072796333.3384379
1688503036,2023-07-04 17:37:16,1106867608.7406688
1688534984,2023-07-05 02:29:44,1053122902.469382
1688577582,2023-07-05 14:19:42,938478147.0
1688582924,2023-07-05 15:48:44,823134217.0
1688592997,2023-07-05 18:36:37,839981188.5382433
1688615499,2023-07-06 00:51:39,913391809.0
1688656697,2023-07-06 12:18:17,936801836.768398
1688667928,2023-07-06 15:25:28,921701345.0
1688702631,2023-07-07 01:03:51,904923305.0
1688719945,2023-07-07 05:52:25,902709409.9072996
1688736515,2023-07-07 10:28:35,911496447.2510537
1688768238,2023-07-07 19:17:18,923812648.2378658
1688776859,2023-07-07 21:40:59,932186244.0752543
1688797615,2023-07-08 03:26:55,929145466.0
1688830983,2023-07-08 12:43:03,916964973.2964411
1688840787,2023-07-08 15:26:27,936905138.0
1688859887,2023-07-08 20:44:47,1011257023.026078
1688874409,2023-07-09 00:46:49,1047448740.8244396
1688884004,2023-07-09 03:26:44,924192667.0
1688906149,2023-07-09 09:35:49,630760574.6879445
1688917845,2023-07-09 12:50:45,598661833.0
1688928077,2023-07-09 15:41:17,923798365.0
1688941431,2023-07-09 19:23:51,687762657.0
1688975887,2023-07-10 04:58:07,923273199.0
1689026874,2023-07-10 19:07:54,1014972867.780407
1689029151,2023-07-10 19:45:51,935857963.0
1689049657,2023-07-11 01:27:37,915188412.5478206
1689055540,2023-07-11 03:05:40,934786107.0
1689108424,2023-07-11 17:47:04,924846991.0
1689114637,2023-07-11 19:30:37,867367189.8771504
1689135681,2023-07-12 01:21:21,798040110.290657
1689143332,2023-07-12 03:28:52,763425089.0750885
1689193657,2023-07-12 17:27:37,810081463.0
1689202874,2023-07-12 20:01:14,924846482.0
1689231861,2023-07-13 04:04:21,922178096.0
1689239564,2023-07-13 06:12:44,876611859.0
1689253663,2023-07-13 10:07:43,939526632.0
1689254417,2023-07-13 10:20:17,726460751.1591929
1689259609,2023-07-13 11:46:49,565333068.0
1689290047,2023-07-13 20:14:07,800236220.4938828
1689298193,2023-07-13 22:29:53,922857715.0
1689309946,2023-07-14 01:45:46,658427572.0
1689318243,2023-07-14 04:04:03,924475795.0
1689325738,2023-07-14 06:08:58,1025197700.2401987
1689326448,2023-07-14 06:20:48,939003329.0
1689332062,2023-07-14 07:54:22,902961839.40875
1689333981,2023-07-14 08:26:21,920288928.0
1689356199,2023-07-14 14:36:39,939382722.4218926
1689361775,2023-07-14 16:09:35,923224533.0
1689369253,2023-07-14 18:14:13,877818500.0
1689375029,2023-07-14 19:50:29,905016986.0
1689384462,2023-07-14 22:27:42,931594610.0
1689398381,2023-07-15 02:19:41,923415682.0
1689412770,2023-07-15 06:19:30,833630065.7438831
1689419888,2023-07-15 08:18:08,855640454.0
1689426248,2023-07-15 10:04:08,937429709.0
1689436720,2023-07-15 12:58:40,402409012.0
1689464114,2023-07-15 20:35:14,325913136.6215366
1689465962,2023-07-15 21:06:02,660635663.2760627
1689481549,2023-07-16 01:25:49,922272256.0
1689509688,2023-07-16 09:14:48,781923401.0
1689515012,2023-07-16 10:43:32,513301218.2423179
1689520399,2023-07-16 12:13:19,469491989.0
1689535354,2023-07-16 16:22:34,767782408.0
1689550693,2023-07-16 20:38:13,890924742.0
1689554681,2023-07-16 21:44:41,954550095.9034455
1689573723,2023-07-17 03:02:03,983473480.1672153
1689574759,2023-07-17 03:19:19,921647567.0
1689578872,2023-07-17 04:27:52,800049022.0
1689598458,2023-07-17 09:54:18,859196697.0833113
1689602188,2023-07-17 10:56:28,872418241.0
1689638285,2023-07-17 20:58:05,725586620.0
1689661270,2023-07-18 03:21:10,938111110.0
1689697171,2023-07-18 13:19:31,1005261838.1346776
1689703718,2023-07-18 15:08:38,884258516.7725933
1689741363,2023-07-19 01:36:03,740523292.6878223
1689752988,2023-07-19 04:49:48,739478313.0
1689783264,2023-07-19 13:14:24,921135282.0
1689804336,2023-07-19 19:05:36,943811470.9047484
1689812738,2023-07-19 21:25:38,820203083.1717907
1689833068,2023-07-20 03:04:28,682953665.0
1689854430,2023-07-20 09:00:30,636491052.0086399
1689868854,2023-07-20 13:00:54,672380236.2812549
1689879190,2023-07-20 15:53:10,753970499.1669736
1689885465,2023-07-20 17:37:45,844611122.0
1689886315,2023-07-20 17:51:55,909965782.3572506
1689892132,2023-07-20 19:28:52,924955743.0
1689913032,2023-07-21 01:17:12,879792195.0
1689913333,2023-07-21 01:22:13,816770011.2907792
1689920076,2023-07-21 03:14:36,791885819.7502788
1689929315,2023-07-21 05:48:35,861317803.0
1690000147,2023-07-22 01:29:07,937997850.0
1690000328,2023-07-22 01:32:08,662028806.0
1690008425,2023-07-22 03:47:05,540977627.3625183
1690015189,2023-07-22 05:39:49,622910667.1928887
1690044407,2023-07-22 13:46:47,765980095.0
1690068036,2023-07-22 20:20:36,855860134.7814705
1690073793,2023-07-22 21:56:33,888313231.2896854
1690102646,2023-07-23 05:57:26,886623884.1710287
1690110568,2023-07-23 08:09:28,874076593.1254658
