Timestamp,Data,Vazao
1682653925,2023-04-28 00:52:05,140472317.0
1682656061,2023-04-28 01:27:41,86480347.0
1682670641,2023-04-28 05:30:41,130350535.41727489
1682675264,2023-04-28 06:47:44,127853914.59848195
1682691617,2023-04-28 11:20:17,124021489.0
1682696723,2023-04-28 12:45:23,127027896.10687937
1682715592,2023-04-28 17:59:52,125541608.2482575
1682717910,2023-04-28 18:38:30,130916335.9182957
1682738485,2023-04-29 00:21:25,216440241.0
1682738870,2023-04-29 00:27:50,126187355.93666172
1682761712,2023-04-29 06:48:32,150200288.56823203
1682783031,2023-04-29 12:43:51,129517728.0
1682801346,2023-04-29 17:49:06,139428838.73493606
1682801720,2023-04-29 17:55:20,218199081.0
1682823003,2023-04-29 23:50:03,222500307.0
1682829767,2023-04-30 01:42:47,200569887.0
1682844716,2023-04-30 05:51:56,131784744.0
1682846523,2023-04-30 06:22:03,87366689.0
1682869683,2023-04-30 12:48:03,134424300.0
1682871759,2023-04-30 13:22:39,208296896.0
1682888933,2023-04-30 18:08:53,89098256.0
1682907663,2023-04-30 23:21:03,134150202.0
1682917387,2023-05-01 02:03:07,90207670.0
1682935349,2023-05-01 07:02:29,140660906.84770945
1682951083,2023-05-01 11:24:43,163997286.0
1682959498,2023-05-01 13:44:58,127781411.5707654
1682978196,2023-05-01 18:56:36,139695544.0
1682981506,2023-05-01 19:51:46,134740307.0
1682997862,2023-05-02 00:24:22,97698241.0
1683002836,2023-05-02 01:47:16,135261040.29188117
1683021057,2023-05-02 06:50:57,115743183.31089003
1683022193,2023-05-02 07:09:53,131022452.32974392
1683036554,2023-05-02 11:09:14,144739238.0
1683046493,2023-05-02 13:54:53,136971426.7415675
1683060362,2023-05-02 17:46:02,155226673.0
1683064282,2023-05-02 18:51:22,104416908.0
1683087234,2023-05-03 01:13:54,121734125.0
1683090203,2023-05-03 02:03:23,114962321.0
1683103912,2023-05-03 05:51:52,147717555.0
1683107261,2023-05-03 06:47:41,129876227.47420141
1683132276,2023-05-03 13:44:36,105412367.0
1683133348,2023-05-03 14:02:28,96698049.0
1683147544,2023-05-03 17:59:04,91797403.0
1683149679,2023-05-03 18:34:39,174894556.0
1683168004,2023-05-03 23:40:04,124943885.0286744
1683174839,2023-05-04 01:33:59,227468022.0
1683190871,2023-05-04 06:01:11,97113852.0
1683192886,2023-05-04 06:34:46,115359563.0
1683209475,2023-05-04 11:11:15,129907873.0
1683218537,2023-05-04 13:42:17,128030908.40242928
1683236271,2023-05-04 18:37:51,161781655.0
1683240061,2023-05-04 19:41:01,124118127.48433313
1683261673,2023-05-05 01:41:13,131759921.0
1683277289,2023-05-05 06:01:29,112994750.0
1683297641,2023-05-05 11:40:41,137795723.57795817
1683303374,2023-05-05 13:16:14,128453434.48113321
1683318394,2023-05-05 17:26:34,133424293.52270193
1683321227,2023-05-05 18:13:47,75142459.0
1683340874,2023-05-05 23:41:14,124753600.42757174
1683347661,2023-05-06 01:34:21,134548994.73753446
1683366705,2023-05-06 06:51:45,129762433.85686956
1683370983,2023-05-06 08:03:03,124664661.0
1683387228,2023-05-06 12:33:48,126218780.89526315
1683387268,2023-05-06 12:34:28,126308664.17879578
1683405940,2023-05-06 17:45:40,95498071.0
1683425789,2023-05-06 23:16:29,140192433.64301267
1683436022,2023-05-07 02:07:02,141988265.73584074
1683450896,2023-05-07 06:14:56,143626616.6550924
1683452684,2023-05-07 06:44:44,99406874.0
1683469769,2023-05-07 11:29:29,112789129.0
1683470030,2023-05-07 11:33:50,141712952.92618114
1683495184,2023-05-07 18:33:04,130283303.49747252
1683495930,2023-05-07 18:45:30,138348543.04554912
1683539168,2023-05-08 06:46:08,97609880.0
1683541969,2023-05-08 07:32:49,131090812.0
1683557452,2023-05-08 11:50:52,177023386.0
1683559895,2023-05-08 12:31:35,127716877.30448419
1683576948,2023-05-08 17:15:48,127693042.73405808
1683580756,2023-05-08 18:19:16,133600221.98295243
1683607273,2023-05-09 01:41:13,110244472.0
1683621610,2023-05-09 05:40:10,143249058.0
1683625867,2023-05-09 06:51:07,133386482.85319434
1683642215,2023-05-09 11:23:35,132543163.39982489
1683643444,2023-05-09 11:44:04,139210059.82708412
1683671907,2023-05-09 19:38:27,129183529.58321218
1683673319,2023-05-09 20:01:59,135267176.0
1683686409,2023-05-09 23:40:09,126544278.45338258
1683713290,2023-05-10 07:08:10,98678491.0
1683716305,2023-05-10 07:58:25,132454137.51090129
1683891630,2023-05-12 08:40:30,124833135.0
1683900992,2023-05-12 11:16:32,89443711.0
1683921317,2023-05-12 16:55:17,101554687.0
1683927531,2023-05-12 18:38:51,137079595.13181388
1683953711,2023-05-13 01:55:11,133274089.0
1683963987,2023-05-13 04:46:27,130349380.89427081
1683974537,2023-05-13 07:42:17,108789874.0
1683980005,2023-05-13 09:13:25,131537150.44536948
1683983821,2023-05-13 10:17:01,137869752.77785072
1684004132,2023-05-13 15:55:32,105644148.0
1684005235,2023-05-13 16:13:55,157548725.0
